"vessel_name","MMSI","Flag","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock_tem","at_dock_tak","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"GAGDDMG","412209163","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-01-13 17:20:59,4,2025-01-20 12:50:20,4,6.8,"SEKONDI-TAKORADI",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,3.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2025-01-11&end=2025-01-22"")"
"DICHA UNO","312697000","BLZ","fishing","low","fishing","inconclusive","CIV","PORT BOUET ANCHORAGE",2025-03-18 16:23:20,4,2025-03-19 14:45:58,3,0.9,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2025-03-16&end=2025-03-21"")"
"BALUCH","422754700","IRN","fishing","high","fishing","fishing","ARE","SHARJAH ANCHORAGE",2024-12-23 19:02:33,4,2025-03-16 15:10:54,3,82.8,"TEMA",NA,NA,TRUE,170.352777777778,"MYT, MOZ, ZAF, NAM",TRUE,"CCSBT, SWIOFC, SIOFA, ICCAT, CCSBT-Primary-Area, ACAP, IWC, IOTC",FALSE,NA,TRUE,15,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3374a1090-0749-5832-b035-ecd4f3a77e10?&start=2024-12-21&end=2025-03-18"")"
"MENG XIN 7","627180000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-01-07 07:26:47,4,2025-02-02 07:20:46,4,26,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3828d8fce-ec6d-5d62-5c30-cd38c9657b26?&start=2025-01-05&end=2025-02-04"")"
"FRIO CHIKUMA","311001575","BHS","carrier","high","carrier","carrier","CIV","ABIDJAN",2025-01-22 23:07:40,4,2025-01-24 13:11:48,4,1.6,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/99978859a-a724-2fdc-81f3-5539b528a994?&start=2025-01-20&end=2025-01-26"")"
"LONG XIANG 609","627219000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-01-11 17:31:37,4,2025-02-10 13:45:03,4,29.8,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,1.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e3b668de-e595-867b-cd00-d4dabca233ee?&start=2025-01-09&end=2025-02-12"")"
"GAGDDMG","412209163","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2024-12-09 13:14:26,4,2025-01-13 15:25:15,4,35.1,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,5,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b6190ac7f-f3fa-efec-1b86-122ae6e1ef38?&start=2024-12-07&end=2025-01-15"")"
"ATLANTIC PRINCE","312867000","BLZ","fishing","high","fishing","tuna_purse_seines","CIV","PORT BOUET ANCHORAGE",2025-03-22 16:30:39,4,2025-03-23 16:31:29,3,1,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a8fa13d03-3876-ae64-a357-4823082c2984?&start=2025-03-20&end=2025-03-25"")"
"HAI LU FENG 2","627194000","CHN","fishing","med","fishing","inconclusive","GHA","TEMA",2025-01-03 19:00:20,4,2025-02-01 23:20:02,4,29.2,"TEMA",TRUE,NA,TRUE,21.6333333333333,"GHA",FALSE,"ACAP, ICCAT, NAMMCO, FCWC, IWC",FALSE,NA,FALSE,NA,3.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fb966b960-053e-ec50-4c00-cd20c16b073d?&start=2025-01-01&end=2025-02-03"")"
"STAR FIRST","311000876","BHS","carrier","low","other","other","CMR","DOUALA",2025-02-23 00:15:10,4,2025-02-25 04:33:33,4,2.2,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f2830fdf-fd8c-099e-c5e3-c9f9c4a16f76?&start=2025-02-21&end=2025-02-27"")"
"AFRICA STAR","627074000","FRA","fishing","high","fishing","tuna_purse_seines","GHA","TEMA",2025-01-14 18:32:58,4,2025-02-07 06:38:00,3,23.5,"TEMA",NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,1.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9aed1677e-ef23-f541-58eb-8d755d410df4?&start=2025-01-12&end=2025-02-09"")"
"LONG XIANG 603","627224000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2024-12-22 16:57:08,4,2025-01-06 00:47:30,4,14.3,"TEMA",NA,NA,TRUE,3198.98055555556,"GHA",FALSE,"IWC, ICCAT, FCWC, ACAP, NAMMCO",FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/03fbdec98-87b6-42a6-8884-7d209ecb3106?&start=2024-12-20&end=2025-01-08"")"
"LONG XIANG 606","627220000","CHN","fishing","high","fishing","fishing","GHA","TEMA",2025-02-11 13:29:26,4,2025-03-07 13:08:38,4,24,"TEMA",TRUE,NA,TRUE,2682.45277777778,"GHA",FALSE,"FCWC, ICCAT, NAMMCO, IWC, ACAP",FALSE,NA,TRUE,18,68.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0df280a47-79b8-08a7-f18d-6adfa224ff81?&start=2025-02-09&end=2025-03-09"")"
"HAI LU FENG 5","627197000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-02-28 19:10:51,4,2025-03-29 06:38:32,4,28.5,"TEMA",TRUE,NA,TRUE,302.013888888889,"GHA",FALSE,"ACAP, ICCAT, NAMMCO, FCWC, IWC",FALSE,NA,TRUE,1,19.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/809277b93-3695-db80-5f3c-94046096e581?&start=2025-02-26&end=2025-03-31"")"
"HAI LU FENG 5","627197000","CHN","fishing","high","fishing","trawlers","GHA","TEMA",2025-01-03 16:23:35,4,2025-01-27 14:00:02,4,23.9,"TEMA",TRUE,NA,TRUE,93.2583333333333,"GHA",FALSE,"FCWC, IWC, ICCAT, NAMMCO, ACAP",FALSE,NA,TRUE,10,11.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/809277b93-3695-db80-5f3c-94046096e581?&start=2025-01-01&end=2025-01-29"")"
"COLOMBIAN STAR","636014240","LBR","carrier","low","carrier","carrier","CMR","DOUALA",2025-01-05 08:15:16,4,2025-01-07 04:10:51,4,1.8,"TEMA",TRUE,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8bce66adf-faea-4494-cf58-4990faf56820?&start=2025-01-03&end=2025-01-09"")"
