"vessel_name","MMSI","Flag","flag_ais","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"ATLANTIC ROSE","511100124","PLW","PLW","8806242","carrier","high","carrier","carrier","BRA","RIO GRANDE",2025-01-08 05:38:58,4,2025-01-21 08:37:20,4,13.1,"DAKAR",FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,4,33.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6ecb06bf8-8d74-5144-1aa7-54a777f971a7?&start=2025-01-06&end=2025-01-23"")"
"EGALABUR","312078000","BLZ","BLZ","9710995","fishing","low","cargo","cargo","CIV","ABIDJAN",2025-01-31 20:41:40,4,2025-03-03 07:50:45,4,30.5,"DAKAR",FALSE,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,4,TRUE,20,40.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-01-29&end=2025-03-05"")"
"ALHASSAN ALMARRAKCHI","242017400","MAR","MAR","9867061","fishing","low","fishing","inconclusive","SEN","DAKAR",2025-01-24 20:03:50,4,2025-01-25 17:35:14,4,0.9,"DAKAR",FALSE,FALSE,TRUE,11.7583333333333,"SEN",FALSE,"IWC, ACAP, SRFC, ICCAT, NAMMCO",FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4c4834111-1fd4-6ddf-2c63-bfabf620da76?&start=2025-01-22&end=2025-01-27"")"
"YUAN YU 891","412549342","CHN","CHN",NA,"fishing","high","fishing","trawlers","GNB","BISSAU",2025-01-18 11:22:54,4,2025-01-19 22:06:15,4,1.4,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/02f3592a0-0a3e-9ca8-3827-877139e763f0?&start=2025-01-16&end=2025-01-21"")"
"ALBONIGA","224745000","ESP","ESP","8613267","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-02-23 13:05:21,4,2025-03-25 05:00:57,4,29.6,"DAKAR",TRUE,TRUE,TRUE,168.311111111111,"SLE, CIV",FALSE,"ACAP, FCWC, NAMMCO, SRFC, ICCAT, IWC",FALSE,NA,TRUE,10,17.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/818356b57-7844-a4ae-919e-36a06ae5a84a?&start=2025-02-21&end=2025-03-27"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-02-19 16:04:05,4,2025-03-14 12:55:46,4,22.8,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-02-17&end=2025-03-16"")"
"NATA 2","659034000","NAM","NAM",NA,"fishing","low","gear","gear","SEN","DAKAR",2025-01-14 08:25:46,4,2025-03-04 12:07:28,4,49.1,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,14,77.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/68a05b872-2f68-ba22-da3d-8de7bfa86302?&start=2025-01-12&end=2025-03-06"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","GNB","BISSAU",2025-02-13 20:10:27,4,2025-03-03 22:38:36,4,18.1,"DAKAR",TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,22,76.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-02-11&end=2025-03-05"")"
"CARIBBEAN STAR","636013068","LBR","LBR","9150810","carrier","low","carrier","carrier","CIV","ABIDJAN",2025-01-03 05:00:41,4,2025-01-06 18:01:32,4,3.5,"DAKAR",TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6215b49b8-8d6d-c4dc-240a-8d5e38e826d6?&start=2025-01-01&end=2025-01-08"")"
"KAO FONG NO817","416146700","TWN","TWN",NA,"fishing","high","fishing","drifting_longlines","SEN","DAKAR",2024-08-23 08:11:06,4,2025-02-25 06:46:50,4,185.9,"DAKAR",TRUE,TRUE,TRUE,475.153055555556,NA,TRUE,"IWC, ACAP, NAMMCO, ICCAT",TRUE,60,TRUE,164,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/54f3e7498-89d5-7b1b-40cd-f04b6e575ff7?&start=2024-08-21&end=2025-02-27"")"
