vessel_name,MMSI,Flag,flag_ais,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,dak_general,dak_fishing,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
EGALABUR,312078000,BLZ,BLZ,9710995,fishing,low,fishing,tuna_purse_seines,CIV,ABIDJAN,31/01/2025 20:41,4,03/03/2025 07:50,4,30.5,DAKAR,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,4,TRUE,20,40.3,https://globalfishingwatch.org/map/vessel/e381c1064-4581-8291-c3dc-2be09ac071b9?&start=2025-01-29&end=2025-03-05
YUAN YU 891,412549342,CHN,CHN,NA,fishing,high,fishing,trawlers,GNB,BISSAU,18/01/2025 11:22,4,19/01/2025 22:06,4,1.4,DAKAR,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/02f3592a0-0a3e-9ca8-3827-877139e763f0?&start=2025-01-16&end=2025-01-21
ALBONIGA,224745000,ESP,ESP,8613267,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,23/02/2025 13:05,4,25/03/2025 05:00,4,29.6,DAKAR,TRUE,TRUE,TRUE,168.3111111,"SLE, CIV",FALSE,"ACAP, FCWC, NAMMCO, SRFC, ICCAT, IWC",FALSE,NA,TRUE,10,17.3,https://globalfishingwatch.org/map/vessel/818356b57-7844-a4ae-919e-36a06ae5a84a?&start=2025-02-21&end=2025-03-27
F/V ALBACORA QUINCE,224727000,ESP,ESP,8206296,fishing,high,fishing,tuna_purse_seines,CIV,ABIDJAN,19/02/2025 16:04,4,14/03/2025 12:55,4,22.8,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.4,https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-02-17&end=2025-03-16
NATA 2,659034000,NAM,NAM,NA,fishing,low,fishing,drifting_longlines,SEN,DAKAR,14/01/2025 08:25,4,04/03/2025 12:07,4,49.1,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,14,77.5,https://globalfishingwatch.org/map/vessel/68a05b872-2f68-ba22-da3d-8de7bfa86302?&start=2025-01-12&end=2025-03-06
YIFENG25,412209122,CHN,CHN,NA,fishing,low,fishing,unknown,GNB,BISSAU,13/02/2025 20:10,4,03/03/2025 22:38,4,18.1,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,22,76.8,https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-02-11&end=2025-03-05
KAO FONG NO817,416146700,TWN,TWN,NA,fishing,high,fishing,drifting_longlines,SEN,DAKAR,23/08/2024 08:11,4,25/02/2025 06:46,4,185.9,DAKAR,TRUE,TRUE,TRUE,475.1530556,NA,TRUE,"IWC, ACAP, NAMMCO, ICCAT",TRUE,60,TRUE,164,NA,https://globalfishingwatch.org/map/vessel/54f3e7498-89d5-7b1b-40cd-f04b6e575ff7?&start=2024-08-21&end=2025-02-27
YUAN YU 890,412549341,CHN,CHN,NA,fishing,high,fishing,trawlers,GNB,BISSAU,25/01/2025 15:41,4,27/01/2025 04:41,4,1.5,DAKAR,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/bbba961c9-9f6c-7ddb-69db-a6f4016b1484?&start=2025-01-23&end=2025-01-29
YIFENG21,412209011,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,02/03/2025 00:06,4,15/03/2025 01:44,4,13,DAKAR,TRUE,TRUE,TRUE,225.7555556,SEN,FALSE,"ICCAT, NAMMCO, SRFC, IWC, ACAP",FALSE,NA,TRUE,6,12.4,https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2025-02-28&end=2025-03-17
YUAN YU 892,412549343,CHN,CHN,NA,fishing,high,fishing,trawlers,GNB,BISSAU,25/01/2025 15:34,4,27/01/2025 07:22,4,1.6,DAKAR,TRUE,FALSE,TRUE,27.55,SEN,FALSE,"ICCAT, ACAP, SRFC, IWC, NAMMCO",FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/c281d3ca5-5203-420a-ebc1-dd882a005a49?&start=2025-01-23&end=2025-01-29
