Date added,ssvid,CurrentName,IMO,CurrentFlag,CurrentIrcs,VesselType,GearType,,,,,,,,,,,,,,,,
Original port profile list,306216000,COLD STREAM,9051791,CUW,PJRH,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306276000,EXPLORER III,9171656,CUW,PJGD,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306783000,VALENTINA C,7409140,COK,PIQD,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,306796000,BREIZ KLIPPER,8917211,XBO,,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,306862000,COPPENAME,8807636,CUW,PJYM,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308090000,HELLAS STREAM,9015187,BHS,C6KD8,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308121000,BELUGA REEFER,9015204,BHS,C6KD7,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308122000,NEDERLAND STREAM,9015199,BHS,C6KD6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308124000,SCHWEIZ STREAM,9015216,BHS,C6KD9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308126000,SWEDISH STREAM,9030149,BHS,C6KD4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308228000,GREEN OCEAN,9001916,BHS,C6VY8,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308438000,ITALIA STREAM,9030137,BHS,C6KD5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308512000,HOOD ISLAND,9059640,BHS,C6LU4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308701000,BARRINGTON ISLAND,9059614,BHS,C6QK,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308704000,DUNCAN ISLAND,9059638,BHS,C6JS,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,308705000,CHARLES ISLAND,9059626,BHS,C6JT,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309075000,BALTIC WINTER,9014755,BHS,C6VR4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309165000,GREEN KLIPPER,9001904,BHS,C6VY9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309193000,JORGEN REEFER,9007489,BHS,C6VB9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309281000,GREEN ITALIA,9045780,BHS,C6WH9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309361000,GREEN EXPLORER,8922242,BHS,C6VZ4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309716000,BALTIC AUTUMN,9014767,BHS,C6VR5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,309841000,BALTIC PEARL,9008732,BHS,C6OU9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000682,SIERRA LARA,9120205,BHS,C6DI3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000712,ORANGE SPIRIT,9795969,BHS,C6DL6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000724,BALTIC PURPLE,9143099,BHS,C6DN3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000782,MING HANG 7,9128037,PAN,3FQW6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000788,CROWN TOPAZ,9191498,BHS,C6DU7,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000791,CROWN JADE,9128051,BHS,C6DV2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000795,WILD COSMOS,9181132,BHS,C6DV6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000796,CROWN RUBY,9159103,BHS,C6DV7,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000801,CROWN OPAL,9128063,BHS,C6DW4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000804,WILD PEONY,9191474,BHS,C6DW7,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000834,WILD LOTUS,9181168,BHS,C6DZ2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000851,BALTIC SPIRIT,9765873,BHS,C6EB8,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000855,CROWN SAPPHIRE,9159115,BHS,C6EC4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000876,STAR FIRST,9330056,BHS,C6EE9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000972,BALTIC PERFORMER,9016674,BHS,C6EQ6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311000977,BALTIC HOLLYHOCK,9189902,BHS,C6ER3,Carrier vessel,NA,,,,,,,,,,,,,,,,
