"";"s2id";"iso3";"label";"sublabel";"lat";"lon";"distance_from_shore_m";"dock"
"151";"1069cc91";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7893192417116;7,06083547458879;0;TRUE
"152";"1069cc93";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,79039139024643;7,0610483515726;0;TRUE
"153";"1069cbfd";"NGA";"PORT HARCOURT";"PORT HARCOURT";4,7672805892858;7,00826827831953;0;TRUE
"154";"1040e387";"NGA";"SAPELE";"OGHARA";5,92264573698607;5,65043890191483;0;TRUE
"155";"1040e389";"NGA";"SAPELE";"OGHARA";5,92446941618346;5,64869247727404;0;TRUE
"156";"104052cb";"NGA";"WARRI";"WARRI";5,55614314949008;5,72867606768781;0;TRUE
"157";"104051e5";"NGA";"WARRI";"WARRI";5,54267697212423;5,6318012130789;0;TRUE
"158";"10405299";"NGA";"WARRI";"WARRI";5,53982130304015;5,70623465471278;0;TRUE
"159";"1041b3ad";"NGA";"WARRI";"ESCRAVOS OFFSHORE";5,48992085176537;5,77912468569742;0;TRUE
"160";"1041b2b7";"NGA";"WARRI";"WARRI";5,51335487452586;5,739667551047;0;TRUE
"161";"10404d81";"NGA";"WARRI";"WARRI";5,53419600321011;5,68541752879794;0;TRUE
"162";"104051c5";"NGA";"WARRI";"WARRI";5,54807491747138;5,61780457864426;0;TRUE
"163";"104051e7";"NGA";"WARRI";"WARRI";5,54425000052067;5,62846944679801;0;TRUE
"164";"1041b263";"NGA";"WARRI";"WARRI";5,52191390066273;5,7748932078452;0;TRUE
"165";"104051e9";"NGA";"WARRI";"WARRI";5,54799813028109;5,62620701571069;0;TRUE
"166";"104051c3";"NGA";"WARRI";"WARRI";5,54808062199277;5,62250855058256;0;TRUE
"167";"1041b2b5";"NGA";"WARRI";"WARRI";5,51411537136247;5,73259639124202;0;TRUE
"168";"10405279";"NGA";"WARRI";"WARRI";5,53840864807705;5,68146607263465;0;TRUE
"169";"10404d49";"NGA";"WARRI";"WARRI";5,51446059916528;5,72322655040334;0;TRUE
"170";"10404d47";"NGA";"WARRI";"WARRI";5,5151305655164;5,7151967740089;0;TRUE
"171";"10404d39";"NGA";"WARRI";"WARRI";5,51263761691377;5,71813769255385;0;TRUE
"172";"1041b265";"NGA";"WARRI";"WARRI";5,51950900216631;5,77803102766844;0;TRUE
"173";"10405281";"NGA";"WARRI";"WARRI";5,53614539228873;5,69131178253166;0;TRUE
"174";"1040527f";"NGA";"WARRI";"WARRI";5,53508505845634;5,68687405856555;0;TRUE
"175";"10404d4b";"NGA";"WARRI";"WARRI";5,51486014009881;5,72604528778306;0;TRUE
"176";"1041ad35";"NGA";"WARRI";"WARRI";5,55657881569905;5,73055643060484;0;TRUE
"177";"104051e3";"NGA";"WARRI";"WARRI";5,53937540773248;5,63367577376488;0;TRUE
"178";"1041b289";"NGA";"WARRI";"WARRI";5,52159458151285;5,76819174706511;0;TRUE
"179";"10405283";"NGA";"WARRI";"WARRI";5,53570975515823;5,69686512063497;0;TRUE
"180";"1040529f";"NGA";"WARRI";"WARRI";5,53906118444896;5,70534261859981;0;TRUE
"181";"1041b28b";"NGA";"WARRI";"WARRI";5,51455615534412;5,76972674810935;0;TRUE
"182";"10404d37";"NGA";"WARRI";"WARRI";5,51245174957373;5,7220012493627;0;TRUE
"183";"106853db";"NGA";"BONNY";"PORT HARCOURT";4,47215004536285;7,17152024207709;1000;FALSE
"184";"10685479";"NGA";"BONNY";"BONNY";4,44230372555293;7,14515147732568;1000;FALSE
"185";"1068538b";"NGA";"BONNY";"BONNY";4,44766361907513;7,15422193278528;1000;FALSE
"186";"1068538d";"NGA";"BONNY";"BONNY";4,45225294310922;7,15463378531543;1000;FALSE
"187";"106854f9";"NGA";"BONNY";"BONNY";4,41137996694354;7,13287625784568;1000;FALSE
"188";"10685181";"NGA";"BONNY";"PORT HARCOURT";4,48820260775893;7,18165731170237;1000;FALSE
"189";"106853dd";"NGA";"BONNY";"PORT HARCOURT";4,46845990850213;7,17091793946452;1000;FALSE
"190";"10685477";"NGA";"BONNY";"BONNY";4,44289796857596;7,14963253868325;1000;FALSE
"191";"106854ff";"NGA";"BONNY";"BONNY";4,40839086547339;7,13174825991579;1000;FALSE
"192";"1068522b";"NGA";"BONNY";"PORT HARCOURT";4,48805106540347;7,17736819738619;1000;FALSE
"193";"106853eb";"NGA";"BONNY";"BONNY";4,46228298627809;7,16201580990205;1000;FALSE
"194";"106853d5";"NGA";"BONNY";"PORT HARCOURT";4,48372043744497;7,17681768983749;1000;FALSE
"195";"106853c3";"NGA";"BONNY";"PORT HARCOURT";4,46788610365551;7,16602027939586;1000;FALSE
"196";"106853ed";"NGA";"BONNY";"BONNY";4,45792609696356;7,16131667006241;1000;FALSE
"197";"106854f7";"NGA";"BONNY";"BONNY";4,41614785823515;7,13394122409565;1000;TRUE
"198";"10685389";"NGA";"BONNY";"BONNY";4,44727780025201;7,15091020015158;1000;FALSE
"199";"106853d7";"NGA";"BONNY";"PORT HARCOURT";4,47850442640853;7,17684206066675;1000;FALSE
"200";"10685461";"NGA";"BONNY";"BONNY";4,42690057895567;7,13978927623046;1000;FALSE
"201";"10685475";"NGA";"BONNY";"BONNY";4,44313161657064;7,15378558607182;1000;FALSE
"202";"106853c5";"NGA";"BONNY";"PORT HARCOURT";4,47162638867824;7,16690080255814;1000;FALSE
"203";"10685187";"NGA";"BONNY";"PORT HARCOURT";4,49319578099447;7,18167104947718;1000;FALSE
"204";"10685189";"NGA";"BONNY";"PORT HARCOURT";4,49796042921814;7,18122687108949;1000;FALSE
"205";"1068517f";"NGA";"BONNY";"PORT HARCOURT";4,48368430521364;7,18149460201423;1000;FALSE
"206";"106853df";"NGA";"BONNY";"PORT HARCOURT";4,46826372353683;7,17494202257802;1000;FALSE
"207";"10406489";"NGA";"ESCRAVOS";"ESCRAVOS";5,60932199984893;5,26656663446743;1000;FALSE
"208";"10406465";"NGA";"ESCRAVOS";"ESCRAVOS";5,60820433479572;5,2762897973997;1000;FALSE
"209";"10407b51";"NGA";"ESCRAVOS";"ESCRAVOS GAS";5,6161282289542;5,2203260912205;1000;TRUE
"210";"10406413";"NGA";"ESCRAVOS";"ESCRAVOS";5,6079546457485;5,29180017550948;1000;FALSE
"211";"1040647d";"NGA";"ESCRAVOS";"ESCRAVOS";5,61284796047597;5,27114067560518;1000;FALSE
"212";"10406487";"NGA";"ESCRAVOS";"ESCRAVOS";5,6128275442836;5,26700403331709;1000;FALSE
"213";"1040646f";"NGA";"ESCRAVOS";"ESCRAVOS";5,60813595028728;5,28134177715643;1000;FALSE
"214";"104064ab";"NGA";"ESCRAVOS";"ESCRAVOS GAS";5,61896789422063;5,22991248365937;1000;TRUE
"215";"10406461";"NGA";"ESCRAVOS";"ESCRAVOS";5,60543764294057;5,2716391824686;1000;FALSE
"216";"10406467";"NGA";"ESCRAVOS";"ESCRAVOS";5,6051739531768;5,27662143574696;1000;FALSE
"217";"10406469";"NGA";"ESCRAVOS";"ESCRAVOS";5,60526756514345;5,28101464282173;1000;FALSE
"218";"10406463";"NGA";"ESCRAVOS";"ESCRAVOS";5,60870375251682;5,27139658194486;1000;FALSE
"219";"1040646d";"NGA";"ESCRAVOS";"ESCRAVOS";5,60808561034487;5,28631102498762;1000;FALSE
"220";"104064a9";"NGA";"ESCRAVOS";"ESCRAVOS GAS";5,61928915705779;5,23432501684902;1000;FALSE
"221";"10406471";"NGA";"ESCRAVOS";"ESCRAVOS";5,61352520021526;5,28137544136192;1000;FALSE
"222";"104064a7";"NGA";"ESCRAVOS";"ESCRAVOS GAS";5,62025336662013;5,23973938694389;1000;FALSE
"223";"104064ad";"NGA";"ESCRAVOS";"ESCRAVOS GAS";5,61526273099073;5,22897808270594;1000;FALSE
"224";"103b8afd";"NGA";"LAGOS";"LAGOS";6,43613534348846;3,38701697408181;1000;TRUE
"225";"103b8b03";"NGA";"LAGOS";"LAGOS";6,44207197729185;3,38682923680661;1000;TRUE
"226";"103b8b1d";"NGA";"LAGOS";"LAGOS";6,44018493800213;3,39161938867455;1000;TRUE
"227";"10679075";"NGA";"NGA-86";"CALABAR";4,81981611376188;8,30695652643415;1000;FALSE
"228";"103c756f";"NGA";"LAGOS";"LAGOS";6,38281305595106;3,39125617612102;2000;FALSE
"229";"103c7571";"NGA";"LAGOS";"LAGOS";6,3832638773146;3,38697987747104;2000;FALSE
"230";"103c756d";"NGA";"LAGOS";"LAGOS";6,37833261175603;3,3914563421262;2000;FALSE
"231";"103c7575";"NGA";"LAGOS";"LAGOS";6,37770395201012;3,38227849394788;2000;FALSE
"232";"103c7577";"NGA";"LAGOS";"LAGOS";6,38344768577842;3,38256240742524;2000;FALSE
"233";"103c7573";"NGA";"LAGOS";"LAGOS";6,3777547246217;3,38682368857918;2000;FALSE
"234";"103c75a1";"NGA";"LAGOS";"LAGOS";6,37266134451235;3,37771679479925;3000;FALSE
"235";"103c756b";"NGA";"LAGOS";"LAGOS";6,37800858360162;3,39674508785602;3000;FALSE
"236";"103c75bb";"NGA";"LAGOS";"TIN CAN ISLAND";6,36698409435819;3,36721868522547;3000;FALSE
"237";"103c75db";"NGA";"LAGOS";"TIN CAN ISLAND";6,36732313697083;3,34676159016782;3000;FALSE
"238";"103c7569";"NGA";"LAGOS";"LAGOS";6,38282488368571;3,39619022938984;3000;FALSE
"239";"103c75dd";"NGA";"LAGOS";"TIN CAN ISLAND";6,37321610140039;3,34643219727263;3000;FALSE
"240";"103c75a7";"NGA";"LAGOS";"TIN CAN ISLAND";6,36764401451509;3,37759685554827;3000;FALSE
"241";"103c7513";"NGA";"LAGOS";"LAGOS";6,37266427900898;3,3915709579933;3000;FALSE
"242";"103c75c3";"NGA";"LAGOS";"TIN CAN ISLAND";6,37294755516877;3,35128290852772;3000;FALSE
"243";"103c7511";"NGA";"LAGOS";"LAGOS";6,36773740790262;3,39161087706462;3000;FALSE
"244";"103c750d";"NGA";"LAGOS";"LAGOS";6,3729734775702;3,38659944249599;3000;FALSE
"245";"103c75c5";"NGA";"LAGOS";"TIN CAN ISLAND";6,36751673051467;3,35134439612247;3000;FALSE
"246";"103c750b";"NGA";"LAGOS";"LAGOS";6,3729289203528;3,38199434586747;3000;FALSE
"247";"103c7509";"NGA";"LAGOS";"TIN CAN ISLAND";6,36738723169484;3,38144597994811;3000;FALSE
"248";"103c750f";"NGA";"LAGOS";"LAGOS";6,36709538561046;3,38661278060063;3000;FALSE
"249";"103c0a95";"NGA";"LAGOS";"LAGOS";6,3773613789369;3,44248042410856;4000;FALSE
"250";"103c7501";"NGA";"LAGOS";"LAGOS";6,35692285016796;3,38185216260767;4000;FALSE
"251";"103c7503";"NGA";"LAGOS";"LAGOS";6,35596102766146;3,38659412679589;4000;FALSE
"252";"103c7677";"NGA";"LAGOS";"TIN CAN ISLAND";6,36771425605799;3,33639359834858;4000;FALSE
"253";"103c7521";"NGA";"LAGOS";"LAGOS";6,35654080011964;3,40171465724059;4000;FALSE
"254";"103c0abf";"NGA";"LAGOS";"LAGOS";6,37723361422665;3,43723820284145;4000;FALSE
"255";"103c7523";"NGA";"LAGOS";"LAGOS";6,36192853562164;3,4018066882661;4000;FALSE
"256";"103c751f";"NGA";"LAGOS";"LAGOS";6,3564134550562;3,3967415288431;4000;FALSE
"257";"103c7671";"NGA";"LAGOS";"TIN CAN ISLAND";6,36745966561145;3,33096755732233;4000;FALSE
