s2id,iso3,label,gfw_sublabel,lat,lon,dock,distance_from_shore_m,port_or_anchorage,tmt_sublabel,GhanaEEZ
1023e0b5,TGO,LOME,LOME,6.0848919748660029,1.2864155675558675,FALSE,7000,Anchorage ,Anchorage ,
1023e74d,TGO,LOME,LOME,6.079924147420023,1.291365581160973,FALSE,7000,Anchorage ,Anchorage ,
1023e715,TGO,LOME,LOME,6.0902259595021571,1.3104174562977122,FALSE,7000,Anchorage ,Anchorage ,
1023dff3,TGO,LOME,LOME,6.0479557118499718,1.2194333005840559,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1023e0bb,TGO,LOME,LOME,6,1.2771282082544237,FALSE,7000,Anchorage ,Anchorage ,
1023e085,TGO,LOME,LOME,6.0740035763931735,1.257701042252569,FALSE,7000,Anchorage ,Anchorage ,
1023e09f,TGO,LOME,LOME,6.0691284974182009,1.267369584121619,FALSE,7000,Anchorage ,Anchorage ,
1023e09b,TGO,LOME,LOME,6.0746213263468736,1.2625650727657076,FALSE,7000,Anchorage ,Anchorage ,
1023e0a1,TGO,LOME,LOME,6.0691333102528828,1.2721332523381537,FALSE,7000,Anchorage ,Anchorage ,
1023e07f,TGO,LOME,LOME,6.0690453680417287,1.2479755511019408,FALSE,7000,Anchorage ,Anchorage ,
1023e74f,TGO,LOME,LOME,6.0798608667392449,1.2960646319303439,FALSE,7000,Anchorage ,Anchorage ,
1023dff7,TGO,LOME,LOME,6.0534411558704191,1.2146399539196411,FALSE,7000,Anchorage ,Anchorage ,Ghana EEZ
1023e0b3,TGO,LOME,LOME,6.0797808650543024,1.2868981383626283,FALSE,7000,Anchorage ,Anchorage ,
1023e099,TGO,LOME,LOME,6.0744707398885369,1.2675492533840251,FALSE,7000,Anchorage ,Anchorage ,
1023e087,TGO,LOME,LOME,6.0742722331897747,1.2530086405600489,FALSE,7000,Anchorage ,Anchorage ,
1023e76b,TGO,LOME,LOME,6.0853991087175716,1.3107357661336723,FALSE,7000,Anchorage ,Anchorage ,
1023e745,TGO,LOME,LOME,6.0795711525178096,1.3011220435516195,FALSE,7000,Anchorage ,Anchorage ,
1023e0b9,TGO,LOME,LOME,6.0849835024482868,1.2768825455289554,FALSE,7000,Anchorage ,Anchorage ,
102161ff,TGO,LOME,LOME,5.9846950918713846,1.2092632733051338,FALSE,14000,Anchorage ,Anchorage ,Ghana EEZ
1023dc33,TGO,LOME,LOME,6.0214350081992567,1.3012029796534827,FALSE,14000,Anchorage ,Anchorage ,
1023dd1d,TGO,LOME,LOME,6.0267405207335312,1.3394083438427127,FALSE,14000,Anchorage ,Anchorage ,
1023dec3,TGO,LOME,LOME,6.0001849929011026,1.2625767496518576,FALSE,14000,Anchorage ,Anchorage ,
1023de97,TGO,LOME,LOME,6,1.2770026894424962,FALSE,14000,Anchorage ,Anchorage ,
1023dc51,TGO,LOME,LOME,6.0158810411035439,1.3203098940429026,FALSE,14000,Anchorage ,Anchorage ,
1023de99,TGO,LOME,LOME,6.0056546377214239,1.2814692458835031,FALSE,14000,Anchorage ,Anchorage ,
1023df21,TGO,LOME,LOME,6,1.2482654083691462,FALSE,14000,Anchorage ,Anchorage ,
1023dd05,TGO,LOME,LOME,6.0318110123416062,1.3346795713696733,FALSE,14000,Anchorage ,Anchorage ,
1023dc4f,TGO,LOME,LOME,6,1.3157237253512573,FALSE,14000,Anchorage ,Anchorage ,
1023dc49,TGO,LOME,LOME,6.016247510764571,1.3106878561055522,FALSE,14000,Anchorage ,Anchorage ,
1023dc53,TGO,LOME,LOME,6.0212380840634454,1.3204833629140018,FALSE,14000,Anchorage ,Anchorage ,
1023df27,TGO,LOME,LOME,5.9951470107104665,1.2481380184182453,FALSE,14000,Anchorage ,Anchorage ,
1023dc35,TGO,LOME,LOME,6.0213183641784962,1.3061819119901636,FALSE,14000,Anchorage ,Anchorage ,
