s2id,iso3,label,sublabel,lat,lon,dock,distance_from_shore_m
1023dee5,TGO,LOME,LOME,6.0107,1.2579,FALSE,13000
1023ddd1,TGO,LOME,LOME,6.0320,1.2962,FALSE,13000
1023ddd3,TGO,LOME,LOME,6.0268,1.2964,FALSE,13000
1023dd09,TGO,LOME,LOME,6.0370,1.3299,FALSE,13000
1023ddb3,TGO,LOME,LOME,6.0266,1.3157,FALSE,13000
1023df23,TGO,LOME,LOME,6.0005,1.2436,FALSE,13000
1023ddcd,TGO,LOME,LOME,6.0264,1.3008,FALSE,13000
1023ddad,TGO,LOME,LOME,6.0266,1.3202,FALSE,13000
1023df41,TGO,LOME,LOME,6.0002,1.2287,FALSE,13000
1023de87,TGO,LOME,LOME,6.0212,1.2818,FALSE,13000
1023de8f,TGO,LOME,LOME,6.0159,1.2771,FALSE,13000
1023dd0d,TGO,LOME,LOME,6.0425,1.3340,FALSE,13000
1023df47,TGO,LOME,LOME,5.9955,1.2292,FALSE,13000
1023df3d,TGO,LOME,LOME,6.0004,1.2387,FALSE,13000
1023dee9,TGO,LOME,LOME,6.0055,1.2627,FALSE,13000
1023df1f,TGO,LOME,LOME,6.0055,1.2478,FALSE,13000
1023ddcf,TGO,LOME,LOME,6.0316,1.3008,FALSE,13000
1023ddcb,TGO,LOME,LOME,6.0266,1.3059,FALSE,13000
1023dc2b,TGO,LOME,LOME,6.0217,1.2910,FALSE,13000
1023df45,TGO,LOME,LOME,5.9955,1.2238,FALSE,13000
1023dc29,TGO,LOME,LOME,6.0159,1.2911,FALSE,13000
1023df5d,TGO,LOME,LOME,6.0003,1.2196,FALSE,13000
1023df1d,TGO,LOME,LOME,6.0110,1.2481,FALSE,13000
1023dda1,TGO,LOME,LOME,6.0427,1.3255,FALSE,13000
1023dda7,TGO,LOME,LOME,6.0374,1.3252,FALSE,13000
1023de93,TGO,LOME,LOME,6.0109,1.2725,FALSE,13000
1023de95,TGO,LOME,LOME,6.0058,1.2722,FALSE,13000
1023ddc9,TGO,LOME,LOME,6.0323,1.3061,FALSE,13000
1023deef,TGO,LOME,LOME,6.0113,1.2625,FALSE,13000
1023ddb7,TGO,LOME,LOME,6.0321,1.3106,FALSE,13000
1023ddb5,TGO,LOME,LOME,6.0267,1.3111,FALSE,13000
1023ddaf,TGO,LOME,LOME,6.0324,1.3204,FALSE,13000
1023dd13,TGO,LOME,LOME,6.0423,1.3392,FALSE,13000
1023ddb1,TGO,LOME,LOME,6.0321,1.3156,FALSE,13000
1023df59,TGO,LOME,LOME,5.9953,1.2151,FALSE,13000
1023df25,TGO,LOME,LOME,5.9951,1.2433,FALSE,13000
1023de83,TGO,LOME,LOME,6.0162,1.2863,FALSE,13000
1023de89,TGO,LOME,LOME,6.0213,1.2772,FALSE,13000
1023deeb,TGO,LOME,LOME,6.0055,1.2677,FALSE,13000
1023dee3,TGO,LOME,LOME,6.0110,1.2531,FALSE,13000
1023df3f,TGO,LOME,LOME,6.0004,1.2337,FALSE,13000
1023de81,TGO,LOME,LOME,6.0213,1.2867,FALSE,13000
1023dee7,TGO,LOME,LOME,6.0056,1.2576,FALSE,13000
1023e0e3,TGO,LOME,LOME,6.1055,1.2626,FALSE,3000
1023e125,TGO,LOME,LOME,6.1166,1.2770,FALSE,3000
1023e0e1,TGO,LOME,LOME,6.1060,1.2679,FALSE,3000
1023e019,TGO,LOME,LOME,6.0852,1.2192,FALSE,3000
1023e05b,TGO,LOME,LOME,6.0951,1.2432,FALSE,3000
1023e01f,TGO,LOME,LOME,6.0852,1.2148,FALSE,3000
1023e023,TGO,LOME,LOME,6.0905,1.2193,FALSE,3000
1023e045,TGO,LOME,LOME,6.0955,1.2390,FALSE,3000
1023e03d,TGO,LOME,LOME,6.0904,1.2240,FALSE,3000
10215ff3,TGO,LOME,LOME,6.0851,1.2053,FALSE,3000
1023e017,TGO,LOME,LOME,6.0853,1.2242,FALSE,3000
1023e059,TGO,LOME,LOME,6.0953,1.2484,FALSE,3000
1023e6d3,TGO,LOME,LOME,6.1161,1.2912,FALSE,3000
1023e121,TGO,LOME,LOME,6.1110,1.2724,FALSE,3000
1023e047,TGO,LOME,LOME,6.0958,1.2337,FALSE,3000
1023e0f7,TGO,LOME,LOME,6.0954,1.2533,FALSE,3000
1023e039,TGO,LOME,LOME,6.0954,1.2287,FALSE,3000
10215f8d,TGO,LOME,LOME,6.0906,1.2054,FALSE,3000
1023e12d,TGO,LOME,LOME,6.1166,1.2866,FALSE,3000
1023e0f9,TGO,LOME,LOME,6.1004,1.2530,FALSE,3000
1023e0df,TGO,LOME,LOME,6.1059,1.2722,FALSE,3000
10215f8b,TGO,LOME,LOME,6.0902,1.2098,FALSE,3000
1023e021,TGO,LOME,LOME,6.0905,1.2145,FALSE,3000
1023dfe3,TGO,LOME,LOME,6.0641,1.2241,FALSE,6000
1023e091,TGO,LOME,LOME,6.0795,1.2625,FALSE,6000
1023dfe5,TGO,LOME,LOME,6.0591,1.2239,FALSE,6000
1023e077,TGO,LOME,LOME,6.0692,1.2383,FALSE,6000
1023e723,TGO,LOME,LOME,6.1005,1.3058,FALSE,6000
