Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,Trip start,trip_end,Trip End ,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
REMOVE ,not reefer,,,,,,,STAR PRIMA,311000958,BHS,other,other,MAR,AGADIR,2/20/25 10:39,4,2/22/25 18:41,4,"2,3",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
CHECK,,,,,unknown,,,ELSAAD,629009158,GMB,fishing,unknown,SEN,DAKAR,1/22/25 12:57,3,2/18/25 18:03,4,"27,2",DAKAR,TRUE,"3,878,111,111",GMB,FALSE,"ICCAT, IWC, NAMMCO, SRFC, ACAP",FALSE,NA,TRUE,2,TRUE,"99,1"
CHECK,,,,Fishing,purse seiners,,,EGALABUR,312078000,BLZ,fishing,tuna_purse_seines,CIV,ABIDJAN,1/31/25 20:41,4,03/03/2025 07:50,4,"30,5",DAKAR,FALSE,NA,NA,FALSE,NA,TRUE,1,TRUE,10,TRUE,"40,3"
,,,,,,,,YINGMING8031,412209008,CHN,fishing,trawlers,SEN,DAKAR,12/21/24 20:10,4,01/01/2025 09:02,4,"10,5",DAKAR,TRUE,"1,430,229,167","GNB, SEN",FALSE,"SRFC, IWC, ICCAT, ACAP, NAMMCO",FALSE,NA,TRUE,5,NA,NA
REMOVE ,not reefer,,,,,,,CARIBBEAN STAR,636013068,LBR,carrier,carrier,CIV,ABIDJAN,02/06/2025 13:40,4,02/09/2025 22:35,4,"3,3",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,YIFENG10,412200999,CHN,fishing,trawlers,GNB,BISSAU,2/13/25 23:30,4,2/22/25 9:43,4,"8,4",DAKAR,TRUE,"9,429,472,222","GNB, SEN",FALSE,"IWC, NAMMCO, ACAP, SRFC, ICCAT",FALSE,NA,TRUE,5,TRUE,"62,1"
,,,,,,,,F/V ALBACORA QUINCE,224727000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,2/19/25 16:04,4,3/14/25 12:55,4,"22,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"0,4"
,,,,,,,,YIFENG28,412209126,CHN,fishing,trawlers,GNB,BISSAU,2/13/25 21:02,4,03/05/2025 14:34,4,"19,7",DAKAR,TRUE,"4,126,423,611","GNB, SEN",FALSE,"NAMMCO, SRFC, IWC, ICCAT, ACAP",FALSE,NA,TRUE,7,TRUE,84
,,,,,,,,JAIME R,224069140,ESP,fishing,trawlers,GAB,PORT GENTIL,2/19/25 11:02,4,2/28/25 11:39,4,9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"36,9"
,,,,,,,,PRINCE OF SEAS,352002562,BHS,carrier,carrier,ESP,LAS PALMAS,01/05/2025 20:24,4,01/07/2025 21:26,4,2,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,,,,BALTIC HOLLYHOCK,311000977,BHS,carrier,carrier,BEL,ANTWERP,01/11/2025 04:49,4,1/17/25 10:44,4,"6,2",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,,,,LAGOON PHOENIX,311001255,BHS,carrier,carrier,BEL,ANTWERP,12/28/24 14:27,4,01/04/2025 07:11,4,"6,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
,,,,,,,,MONTECELO,359102000,ESP,fishing,tuna_purse_seines,CIV,ABIDJAN,2/25/25 13:00,4,3/14/25 17:56,4,"17,2",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,NA,"17,4"
,,,,,,,,MIN LONG YU61146,412444322,CHN,fishing,trawlers,GNB,BISSAU,3/15/25 23:35,4,3/17/25 11:30,4,"1,5",DAKAR,TRUE,"1,158,444,444","GMB, GNB, SEN",FALSE,"SRFC, NAMMCO, ICCAT, ACAP, IWC",FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,RELEIXO,224706000,ESP,fishing,trawlers,GNB,BISSAU,02/05/2025 16:02,4,03/07/2025 06:35,4,"29,6",DAKAR,TRUE,"3,304,694,444","SEN, GNB",FALSE,"SRFC, ICCAT, IWC, ACAP, NAMMCO",FALSE,NA,FALSE,NA,TRUE,"3,9"
,,,,,,,,HAIXIN27,412201871,CHN,fishing,trawlers,GNB,BISSAU,02/12/2025 03:40,4,2/26/25 14:23,4,"14,4",DAKAR,TRUE,"3,411,054,167","GNB, SEN",FALSE,"ACAP, IWC, ICCAT, SRFC, NAMMCO",FALSE,NA,TRUE,12,TRUE,"63,2"
,,,,,,,,GOBER TERCERO,224013270,ESP,fishing,trawlers,MRT,CANSADO,02/05/2025 19:50,4,02/07/2025 16:59,4,"1,9",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,MAR DE ALBA,224023480,ESP,fishing,other_purse_seines,ESP,ESP-121,2/14/25 18:17,4,2/19/25 10:33,3,"4,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"82,3"
