s2id,iso3,label,sublabel,lat,lon,PSMA Use,Use
103c7b9b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.277798854,3.190497542,YES,Outer anchorage 
103c7baf,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278209374,3.210575908,YES,Outer anchorage 
103c7ba5,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278327285,3.20568577,YES,Outer anchorage 
103c7b91,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283688697,3.190760635,YES,Outer anchorage 
103c7a5d,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278383885,3.235758301,YES,Outer anchorage 
103c7b97,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283700614,3.195148457,YES,Outer anchorage 
103c7bad,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278211262,3.216183299,YES,Outer anchorage 
103c7bb3,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283950002,3.215642567,YES,Outer anchorage 
103c7a4d,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283625387,3.220449382,YES,Outer anchorage 
103c7165,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282218272,3.330957942,YES,Outer anchorage 
103c7bb1,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283682482,3.210781824,YES,Outer anchorage 
103c7a43,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283380234,3.235462227,YES,Outer anchorage 
103c7a4f,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283607443,3.225372946,YES,Outer anchorage 
103c7b8f,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283775821,3.184836104,YES,Outer anchorage 
103c716d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.283617176,3.321823705,YES,Outer anchorage 
103c7ba3,NGA,LAGOS,OUTER ANCHORAGE WEST,6.277941753,3.201047193,YES,Outer anchorage 
103c7bbb,NGA,LAGOS,OUTER ANCHORAGE WEST,6.283920398,3.205716338,YES,Outer anchorage 
103c73b5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.271634366,3.361069553,YES,Outer anchorage 
103c717b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.277043551,3.331173191,YES,Outer anchorage 
103c7a5b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278382826,3.2308604,YES,Outer anchorage 
103c7b99,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278250559,3.195000953,YES,Outer anchorage 
103c716f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.28337261,3.326279173,YES,Outer anchorage 
103c7a45,NGA,LAGOS,OUTER ANCHORAGE WEST,6.28396064,3.230932942,YES,Outer anchorage 
103c7b85,NGA,LAGOS,OUTER ANCHORAGE WEST,6.278072492,3.185447427,YES,Outer anchorage 
103c7a4b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288567721,3.220851091,YES,Outer anchorage 
103c7b8d,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288955631,3.186165952,YES,Outer anchorage 
103c7bb9,NGA,LAGOS,OUTER ANCHORAGE WEST,6.28860302,3.205544828,YES,Outer anchorage 
103c7bb5,NGA,LAGOS,OUTER ANCHORAGE WEST,6.289029539,3.21563989,YES,Outer anchorage 
103c7bb7,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288995462,3.210397049,YES,Outer anchorage 
103c7117,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288211066,3.310895135,YES,Outer anchorage 
103c7a41,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288674895,3.235561113,YES,Outer anchorage 
103c7bc9,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294055915,3.210450157,YES,Outer anchorage 
103c7143,NGA,LAGOS,OUTER ANCHORAGE EAST,6.293594099,3.326450989,YES,Outer anchorage 
103c7a39,NGA,LAGOS,OUTER ANCHORAGE WEST,6.293785398,3.23084363,YES,Outer anchorage 
103c713f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.293447307,3.316395692,YES,Outer anchorage 
103c73c5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282781313,3.351583016,YES,Outer anchorage 
103c73b9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282412839,3.361565641,YES,Outer anchorage 
103c717d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.277581012,3.335917949,YES,Outer anchorage 
103c7a15,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294607351,3.239780198,YES,Outer anchorage 
103c73a7,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282726977,3.37705868,YES,Outer anchorage 
103c7119,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288885273,3.305908358,YES,Outer anchorage 
103c7bcb,NGA,LAGOS,OUTER ANCHORAGE WEST,6.293512123,3.215581469,YES,Outer anchorage 
103c7123,NGA,LAGOS,OUTER ANCHORAGE EAST,6.294006666,3.306417592,YES,Outer anchorage 
103c7a6b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288722374,3.240338853,YES,Outer anchorage 
103c711f,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288007687,3.301479549,YES,Outer anchorage 
103c715d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.29354922,3.331101117,YES,Outer anchorage 
103c7bc7,NGA,LAGOS,OUTER ANCHORAGE WEST,6.293811768,3.20584861,YES,Outer anchorage 
103c7a47,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288877072,3.230395282,YES,Outer anchorage 
103c70e1,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288129069,3.296507112,YES,Outer anchorage 
103c7169,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288723667,3.326241181,YES,Outer anchorage 
103c716b,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288290317,3.321517861,YES,Outer anchorage 
103c7163,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282861071,3.337144936,YES,Outer anchorage 
103c7bed,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294205557,3.190295383,YES,Outer anchorage 
103c7115,NGA,LAGOS,OUTER ANCHORAGE EAST,6.288183435,3.316087802,YES,Outer anchorage 
103c7b95,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288717957,3.19538046,YES,Outer anchorage 
103c7a35,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294294193,3.220631591,YES,Outer anchorage 
103c7a37,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294291832,3.225898845,YES,Outer anchorage 
103c7beb,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294417799,3.195132327,YES,Outer anchorage 
103c7141,NGA,LAGOS,OUTER ANCHORAGE EAST,6.294223298,3.321895917,YES,Outer anchorage 
103c73d7,NGA,LAGOS,OUTER ANCHORAGE EAST,6.27828552,3.341069177,YES,Outer anchorage 
103c73a5,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282960265,3.371613142,YES,Outer anchorage 
103c7b93,NGA,LAGOS,OUTER ANCHORAGE WEST,6.288964621,3.190090254,YES,Outer anchorage 
103c73c7,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282304498,3.35629912,YES,Outer anchorage 
103c70dd,NGA,LAGOS,OUTER ANCHORAGE EAST,6.29389534,3.290533973,YES,Outer anchorage 
103c73d1,NGA,LAGOS,OUTER ANCHORAGE EAST,6.277576239,3.346347414,YES,Outer anchorage 
103c713d,NGA,LAGOS,OUTER ANCHORAGE EAST,6.293207179,3.311916171,YES,Outer anchorage 
103c7bf3,NGA,LAGOS,OUTER ANCHORAGE WEST,6.293867233,3.185829913,YES,Outer anchorage 
103c73cf,NGA,LAGOS,OUTER ANCHORAGE EAST,6.277770317,3.35158708,YES,Outer anchorage 
103c7bc1,NGA,LAGOS,OUTER ANCHORAGE WEST,6.293766249,3.2012087,YES,Outer anchorage 
103c7a49,NGA,LAGOS,OUTER ANCHORAGE WEST,6.289265428,3.225539166,YES,Outer anchorage 
103c7a3f,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294085532,3.235702737,YES,Outer anchorage 
103c7c0b,NGA,LAGOS,OUTER ANCHORAGE WEST,6.294035595,3.175522943,YES,Outer anchorage 
103c73d9,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282842654,3.341663198,YES,Outer anchorage 
103c7bbf,NGA,LAGOS,OUTER ANCHORAGE WEST,6.289010221,3.201063685,YES,Outer anchorage 
103c73bb,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282786569,3.366255577,YES,Outer anchorage 
103c73db,NGA,LAGOS,OUTER ANCHORAGE EAST,6.282454074,3.346193415,YES,Outer anchorage 
