"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","prev_visit_timestamp","entrance","navy","west_basin","mid_basin","east_basin","container","dak_fishing","dak_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"YIFENG21","412209011","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-06-28 23:30:58,"4",2025-07-30 04:11:36,"4","31.2","DAKAR",2025-06-28 23:30:58,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2025-06-26&end=2025-08-01"")"
"YIFENG21","412209011","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-07-31 14:42:07,"4",2025-09-05 22:17:16,"4","36.3","DAKAR",2025-07-31 14:42:07,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2025-07-29&end=2025-09-07"")"
"YIFENG22","412209012","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-07-23 19:45:54,"4",2025-08-24 20:29:56,"4","32","DAKAR",2025-07-23 19:45:54,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,4,FALSE,0,4.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bc8cca775-5e31-b2ca-e5b7-7a66811a7955?&start=2025-07-21&end=2025-08-26"")"
"YIFENG22","412209012","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-08-26 15:11:26,"4",2025-09-30 13:31:35,"4","34.9","DAKAR",2025-08-26 15:11:26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,6,FALSE,0,7.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bc8cca775-5e31-b2ca-e5b7-7a66811a7955?&start=2025-08-24&end=2025-10-02"")"
"JU RONG YU 1","412209083","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-07-30 14:04:52,"4",2025-07-30 20:00:23,"4","0.2","DAKAR",2025-07-30 14:04:52,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,42.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/364511e7e-ec82-68e9-2702-2ec05725207d?&start=2025-07-28&end=2025-08-01"")"
"JU RONG YU 1","412209083","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-08-09 05:03:35,"4",2025-08-19 06:43:06,"4","10","DAKAR",2025-08-09 05:03:35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,2.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/364511e7e-ec82-68e9-2702-2ec05725207d?&start=2025-08-07&end=2025-08-21"")"
"MENG XIN17","412209112","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-04 08:08:00,"4",2025-07-06 17:25:04,"4","2.4","DAKAR",2025-01-14 10:10:01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,41.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dc0253109-976e-7a4e-ffc9-53108b818c91?&start=2025-07-02&end=2025-07-08"")"
"MENG XIN18","412209113","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-07-06 20:28:05,"4",2025-07-09 06:08:41,"4","2.4","DAKAR",2025-01-15 07:06:27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,37.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc43f9c7d-d52f-c9cd-5e98-eb87949975ef?&start=2025-07-04&end=2025-07-11"")"
"MENG XIN18","412209113","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-08-02 20:22:53,"4",2025-08-12 12:51:19,"4","9.7","DAKAR",2025-08-02 20:22:53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc43f9c7d-d52f-c9cd-5e98-eb87949975ef?&start=2025-07-31&end=2025-08-14"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-06-15 19:28:53,"4",2025-07-17 13:55:20,"4","31.8","DAKAR",2025-06-15 19:28:53,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,5,FALSE,0,5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-06-13&end=2025-07-19"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","fishing","unknown","CHN","DALIAN",2025-07-24 02:15:06,"4",2025-08-15 13:45:03,"4","22.5","DAKAR",2025-07-19 19:36:19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,2,FALSE,0,3.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-07-22&end=2025-08-17"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-08-16 17:43:28,"4",2025-09-17 03:22:35,"4","31.4","DAKAR",2025-08-16 17:43:28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,9,FALSE,0,5.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-08-14&end=2025-09-19"")"
"YIFENG25","412209122","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-09-18 15:02:32,"4",2025-09-21 18:45:02,"4","3.1","DAKAR",2025-09-18 15:02:32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,21.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/632bb9e7e-e4ae-f310-71ff-3a5bcc4313ec?&start=2025-09-16&end=2025-09-23"")"
"YI FENG 26","412209123","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-06-30 05:12:03,"4",2025-07-31 04:00:36,"4","30.9","DAKAR",2025-06-30 05:12:03,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,7,FALSE,0,6.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a41428649-904a-9c5a-8352-36c736c97746?&start=2025-06-28&end=2025-08-02"")"
"YI FENG 26","412209123","CHN","CHN",NA,"fishing","low","fishing","unknown","SEN","DAKAR",2025-08-01 15:01:08,"4",2025-09-03 15:20:37,"4","33","DAKAR",2025-08-01 15:01:08,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,21,FALSE,0,16,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a41428649-904a-9c5a-8352-36c736c97746?&start=2025-07-30&end=2025-09-05"")"
"YI FENG 27","412209125","CHN","CHN",NA,"fishing","high","fishing","trawlers","MEX","MEX-175",2025-08-29 01:31:25,"4",2025-09-25 14:18:30,"3","27.5","DAKAR",2025-01-25 09:57:27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9d8147393-395c-2793-4143-79ae96cfe78b?&start=2025-08-27&end=2025-09-27"")"
"YIFENG28","412209126","CHN","CHN",NA,"fishing","high","fishing","unknown","SEN","DAKAR",2025-06-25 01:32:53,"4",2025-07-30 15:41:13,"4","35.6","DAKAR",2025-06-25 01:32:53,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,8,FALSE,0,6.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e37cb040b-bbe1-3f3c-c4fc-69d978402d3f?&start=2025-06-23&end=2025-08-01"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","fishing","trawlers","GNB","BISSAU",2025-07-15 23:43:36,"4",2025-08-06 14:09:01,"4","21.6","DAKAR",2025-07-08 15:48:31,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,3,FALSE,0,1.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4e491efe9-9347-bf42-4ee1-c493f8242f2e?&start=2025-07-13&end=2025-08-08"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","fishing","trawlers","SEN","DAKAR",2025-07-08 15:48:31,"4",2025-08-20 12:04:07,"4","42.8","DAKAR",2025-08-08 09:20:44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,NA,FALSE,NA,FALSE,0,TRUE,4,FALSE,0,2.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-07-06&end=2025-08-22"")"
