"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","tema_general","tema_fuel","tema_fishing","takoradi_general","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-04-01 05:28:54,4,2025-04-02 08:46:51,4,1.1,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,21.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-03-30&end=2025-04-04"")"
"DEEP WATERS","677028300","TZA","TZA",NA,"carrier","low","other","other","TGO","LOME",2025-04-21 22:40:29,3,2025-04-22 02:43:20,3,0.2,"TEMA",FALSE,TRUE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e2117ecf7-7ec6-3370-3cbb-c22b4a76fd51?&start=2025-04-19&end=2025-04-24"")"
"MSC UNITE VI","636024729","LBR","LBR","9116589","carrier","low","other","other","TGO","LOME",2025-06-22 20:39:42,4,2025-06-25 11:58:21,4,2.6,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c72e7d54f-f01b-0787-abe2-38fb53c0983c?&start=2025-06-20&end=2025-06-27"")"
"CMA CGM MARLIN","229705000","MLT","MLT","9322463","carrier","low","other","other","MYS","TANJUNG PELEPAS",2025-04-02 00:53:43,4,2025-04-26 06:20:52,4,24.2,"TEMA",FALSE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2a853708a-a921-a5df-2f85-ec88eed9a66e?&start=2025-03-31&end=2025-04-28"")"
"CAMEROUN EXPRESS","563229800","SGP","SGP","9983865","carrier","low","other","other","MAR","AGADIR",2025-06-17 18:01:04,4,2025-06-25 06:35:18,4,7.5,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-06-15&end=2025-06-27"")"
"CAMEROUN EXPRESS","563229800","SGP","SGP","9983865","carrier","low","other","other","MAR","AGADIR",2025-05-20 23:43:24,4,2025-05-28 09:53:17,4,7.4,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,99.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-05-18&end=2025-05-30"")"
"CAMEROUN EXPRESS","563229800","SGP","SGP","9983865","carrier","low","other","other","MAR","AGADIR",2025-04-22 18:05:39,4,2025-05-01 10:01:00,4,8.6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,3,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-04-20&end=2025-05-03"")"
"CAMEROUN EXPRESS","563229800","SGP","SGP","9983865","carrier","low","other","other","MAR","AGADIR",2025-03-28 23:43:48,4,2025-04-03 14:35:42,4,5.6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7bf03aa76-6d87-6b95-cc07-490ae627673d?&start=2025-03-26&end=2025-04-05"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","SGP","9983994","carrier","low","other","other","FRA","PORT-VENDRES",2025-05-06 17:08:14,4,2025-05-14 16:34:47,4,8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-05-04&end=2025-05-16"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","SGP","9983994","carrier","low","other","other","MAR","AGADIR",2025-04-12 20:32:40,4,2025-04-19 05:03:53,4,6.3,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,98.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-04-10&end=2025-04-21"")"
"COTE DIVOIRE EXPRESS","563237900","SGP","SGP","9983994","carrier","low","other","other","MAR","AGADIR",2025-06-03 18:17:38,4,2025-06-11 09:47:41,4,7.6,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c101e6df7-7c74-f0bd-dff3-8cf9eb76b89b?&start=2025-06-01&end=2025-06-13"")"
"GHANA EXPRESS","563245700","SGP","SGP","9984003","carrier","low","other","other","MAR","AGADIR",2025-05-27 14:54:58,4,2025-06-04 10:47:42,4,7.8,"TEMA",TRUE,FALSE,FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,99.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cb30550b1-1125-18ba-f7c7-d3c668d9aa01?&start=2025-05-25&end=2025-06-06"")"
