"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage"
"MX22","412209172","CHN","fishing","fishing","GIN","CONAKRY",2024-01-16 23:43:10,3,2024-01-19 02:45:11,4,2.1,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,50
"FUYUANYU368","412440263","CHN","fishing","trawlers","GIN","CONAKRY",2024-01-08 08:12:15,4,2024-01-10 05:21:14,4,1.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,89.1
"MENGXIN24","412209175","CHN","fishing","fishing","GIN","CONAKRY",2024-01-12 17:48:18,3,2024-01-19 07:14:34,3,6.5,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,0.6
"YIFENG28","412209126","CHN","fishing","trawlers","SEN","DAKAR",2024-02-20 11:30:48,3,2024-03-13 06:06:26,4,21.8,"DAKAR",TRUE,4654.975,"GNB, SEN",FALSE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,NA,TRUE,8,TRUE,71
"YIFENG28","412209126","CHN","fishing","trawlers","GNB","BISSAU",2024-02-04 02:14:42,4,2024-02-20 06:12:39,3,16.1,"DAKAR",TRUE,2973.7013888889,"GNB, SEN",FALSE,"SRFC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,3,TRUE,89.5
"YIFENG28","412209126","CHN","fishing","trawlers","SEN","DAKAR",2023-12-15 18:03:00,4,2024-01-01 06:12:36,4,16.5,"DAKAR",TRUE,4105.58333333333,"SEN, GNB",FALSE,"IWC, NAMMCO, ACAP, ICCAT, SRFC",FALSE,NA,TRUE,13,TRUE,100
"HAIXIN30","412549435","CHN","fishing","inconclusive","COG","POINTE NOIRE",2024-02-06 21:02:37,4,2024-02-18 13:07:04,3,11.7,"DAKAR",TRUE,91.0725,"GNB, GNQ, SEN",TRUE,"NAMMCO, IWC, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,2,TRUE,100
"LA PINTA R","224175000","ESP","fishing","trawlers","GNB","BISSAU",2024-02-01 01:39:51,4,2024-02-29 10:28:27,4,28.3,"DAKAR",TRUE,6694.93333333334,"GNB, SEN",FALSE,"ACAP, IWC, NAMMCO, SRFC, ICCAT",FALSE,NA,TRUE,1,TRUE,98.7
"ZHEN YUAN YU 820","412420887","CHN","other","other","GIN","CONAKRY",2024-01-09 13:26:57,4,2024-01-11 16:02:59,4,2.1,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
"WESTERO","266011000","SWE","fishing","trawlers","SEN","DAKAR",2024-01-10 18:22:21,4,2024-01-17 07:42:12,4,6.5,"DAKAR",TRUE,1311.71666666667,"GMB",FALSE,"ICCAT, NAMMCO, IWC, ACAP, SRFC",FALSE,NA,TRUE,2,TRUE,100
"WESTERO","266011000","SWE","fishing","trawlers","SEN","DAKAR",2024-01-19 08:47:26,4,2024-01-28 04:52:41,3,8.8,"DAKAR",TRUE,1037.275,"GMB",FALSE,"NAMMCO, ACAP, IWC, SRFC, ICCAT",FALSE,NA,TRUE,1,TRUE,59.6
"WESTERO","266011000","SWE","fishing","trawlers","GMB","BANJUL",2023-12-31 21:41:34,4,2024-01-08 04:02:47,4,7.3,"DAKAR",TRUE,1504.70277777778,"GMB",FALSE,"SRFC, NAMMCO, ACAP, IWC, ICCAT",FALSE,NA,TRUE,4,TRUE,100
"PRAIA DE RODEIRA","224546000","ESP","fishing","trawlers","SEN","DAKAR",2024-03-07 04:06:37,4,2024-03-27 14:13:19,3,20.4,"DAKAR",TRUE,4928.35138888889,"GNB, SEN",FALSE,"IWC, NAMMCO, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,10,TRUE,79.4
"PRAIA DE RODEIRA","224546000","ESP","fishing","trawlers","GNB","BISSAU",2024-02-07 15:59:38,4,2024-03-04 08:05:52,4,25.7,"DAKAR",TRUE,5635.80138888889,"GNB, SEN",FALSE,"ACAP, SRFC, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,2,TRUE,85.8
"BZU1B","412420838","CHN","fishing","trawlers","SEN","DAKAR",2024-01-17 04:04:38,3,2024-02-04 22:18:20,4,18.8,"DAKAR",TRUE,5074.58333333333,"SEN",FALSE,"NAMMCO, SRFC, ACAP, ICCAT, IWC",FALSE,NA,TRUE,4,TRUE,94.5
"BZU1B","412420838","CHN","fishing","trawlers","SEN","DAKAR",2024-03-04 13:24:38,4,2024-03-22 07:22:36,3,17.7,"DAKAR",TRUE,5058.10833333333,"SEN",FALSE,"ICCAT, SRFC, ACAP, NAMMCO, IWC",FALSE,NA,TRUE,2,TRUE,100
"BZU1B","412420838","CHN","fishing","trawlers","SEN","DAKAR",2024-02-08 05:53:30,4,2024-02-29 21:08:12,4,21.6,"DAKAR",TRUE,6267.97916666668,"SEN",FALSE,"IWC, ICCAT, ACAP, SRFC, NAMMCO",FALSE,NA,TRUE,4,TRUE,98.7
"SUDO","629009188","GMB","other","other","TUR","TUZLA",2023-10-25 16:59:31,2,2024-01-15 06:34:13,4,81.5,"DAKAR",TRUE,191.207777777778,"ESH",FALSE,"ACAP, ICCAT, IWC, NAMMCO",FALSE,NA,TRUE,2,TRUE,95.3
"MONTERAIOLA","224742000","ESP","fishing","inconclusive","CIV","ABIDJAN",2023-12-27 17:00:05,3,2024-01-10 07:31:19,4,13.6,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1.3
"MENGXIN23","412209173","CHN","fishing","trawlers","GIN","CONAKRY",2024-01-16 23:18:47,3,2024-01-18 20:09:20,4,1.8,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,65.2
"MENGXIN19","412209168","CHN","fishing","trawlers","GIN","CONAKRY",2024-01-16 20:08:52,4,2024-01-18 20:38:55,4,2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,93.9
"ALFONSO RIERA SEGUND","224032270","ESP","fishing","trawlers","GNB","BISSAU",2024-02-05 19:23:22,4,2024-03-05 05:34:18,4,28.4,"DAKAR",TRUE,6152.54999999999,"GNB",FALSE,"SRFC, NAMMCO, IWC, ICCAT, ACAP",FALSE,NA,FALSE,NA,TRUE,100
"ALFONSO RIERA SEGUND","224032270","ESP","fishing","trawlers","SEN","DAKAR",2023-12-02 02:21:47,4,2024-01-01 12:49:14,4,30.4,"DAKAR",TRUE,6442.36111111111,"GNB",FALSE,"NAMMCO, ACAP, IWC, ICCAT, SRFC",FALSE,NA,FALSE,NA,TRUE,100
"ALFONSO RIERA SEGUND","224032270","ESP","fishing","trawlers","GIN","CONAKRY",2024-03-14 19:34:44,4,2024-03-31 18:53:58,4,17,"DAKAR",TRUE,2972.47777777778,"GNB",FALSE,"ICCAT, IWC, ACAP, SRFC, NAMMCO",FALSE,NA,FALSE,NA,TRUE,100
"AN-FONG NO.98","312394000","BLZ","fishing","inconclusive","ESP","LAS PALMAS",2024-01-31 14:16:35,4,2024-02-05 10:59:49,4,4.8,"DAKAR",TRUE,104.225,"SEN",FALSE,"ACAP, IWC, SRFC, NAMMCO, ICCAT",FALSE,NA,FALSE,NA,TRUE,100
"HONG CHIN","416121800","TWN","fishing","drifting_longlines","SEN","DAKAR",2023-09-01 19:42:58,4,2024-03-01 08:11:00,4,181.5,"DAKAR",TRUE,6280.73388888889,NA,TRUE,"ACAP, ICCAT, IWC, NAMMCO",TRUE,1,TRUE,18,NA,64
"GUOJIN901","412549196","CHN","fishing","trawlers","SEN","DAKAR",2024-01-12 19:38:27,4,2024-01-26 21:50:58,2,14.1,"DAKAR",TRUE,1404.19166666667,"SEN",FALSE,"SRFC, IWC, NAMMCO, ICCAT, ACAP",FALSE,NA,TRUE,1,TRUE,37.8
"GUOJIN901","412549196","CHN","fishing","trawlers","SEN","DAKAR",2023-12-25 17:30:02,4,2024-01-10 10:36:18,4,15.7,"DAKAR",TRUE,2448.02916666667,"SEN",FALSE,"NAMMCO, ACAP, IWC, ICCAT, SRFC",FALSE,NA,TRUE,4,TRUE,79.3
"YI FENG 30","412209128","CHN","seismic_vessel","seismic_vessel","SEN","DAKAR",2024-02-22 22:27:11,4,2024-03-09 01:29:17,4,15.1,"DAKAR",TRUE,6077.12083333334,"SEN, GNB",FALSE,"SRFC, ACAP, IWC, ICCAT, NAMMCO",FALSE,NA,TRUE,5,TRUE,89
