"vessel_name","MMSI","Flag2","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_end","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","at_dock","percent_ais_voyage","vessel.ID","trip.ID","Start.confidence","End.confidence"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR","20/04/2024 23:23","05/08/2024 08:38","17.4","DAKAR","TRUE","9927.5625","SEN, GMB","FALSE","ACAP, SRFC, NAMMCO, ICCAT, IWC","FALSE",NA,"TRUE","7","TRUE","100","f581b4c7a-a4e9-81b0-dd1f-add5a6830a79","629009092-f581b4c7a-a4e9-81b0-dd1f-add5a6830a79-018efdd23e70","4","4"
"DIMITRIOS I","629009092","GMB","fishing","trawlers","SEN","DAKAR","16/05/2024 22:33","19/06/2024 05:55","33.3","DAKAR","TRUE","7674.013889","GMB","FALSE","SRFC, NAMMCO, ICCAT, ACAP, IWC","FALSE",NA,"TRUE","4","TRUE","100","f581b4c7a-a4e9-81b0-dd1f-add5a6830a79","629009092-f581b4c7a-a4e9-81b0-dd1f-add5a6830a79-018f838a5c50","4","4"
"DUX","630123009","GNB","fishing","trawlers","SEN","DAKAR","29/03/2024 19:57","26/04/2024 10:40","27.6","DAKAR","TRUE","8692.511111","SEN, GNB","FALSE","ICCAT, SRFC, NAMMCO, ACAP, IWC","FALSE",NA,"FALSE",NA,"TRUE","100","ddede9953-3f41-0464-60f7-dd305ee6621a","630123009-ddede9953-3f41-0464-60f7-dd305ee6621a-018e8bc9dc70","4","4"
"DUX","630123009","GNB","fishing","trawlers","SEN","DAKAR","05/03/2024 20:20","31/05/2024 12:27","27.7","DAKAR","TRUE","6539.395833","SEN, GNB","FALSE","ACAP, NAMMCO, IWC, ICCAT, SRFC","FALSE",NA,"TRUE","5","TRUE","92.9","ddede9953-3f41-0464-60f7-dd305ee6621a","630123009-ddede9953-3f41-0464-60f7-dd305ee6621a-018f401d7740","4","4"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN","03/05/2024 12:04","04/11/2024 15:14","37.1","DAKAR","TRUE","102.9513889","SLE","FALSE","ICCAT, NAMMCO, IWC, SRFC, ACAP","FALSE",NA,"TRUE","3","TRUE","2.7","a0aa90604-4562-1097-2a1e-56ca4a57e84f","224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018e0e800a00","4","4"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR","15/04/2024 16:01","17/04/2024 04:21","1.5","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","32.4","a0aa90604-4562-1097-2a1e-56ca4a57e84f","224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018ee27debd8","4","4"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR","17/04/2024 08:58","15/05/2024 11:48","28.1","DAKAR","TRUE","947.7736111","GIN, GNB, SEN","FALSE","IWC, SRFC, NAMMCO, ICCAT, ACAP","FALSE",NA,"TRUE","10","TRUE","25.1","a0aa90604-4562-1097-2a1e-56ca4a57e84f","224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018eeb473ff8","4","4"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR","19/05/2024 07:29","06/10/2024 09:39","22.1","DAKAR","TRUE","1117.629167","SEN, GNB","FALSE","ICCAT, NAMMCO, SRFC, ACAP, IWC","FALSE",NA,"TRUE","8","TRUE","30.1","a0aa90604-4562-1097-2a1e-56ca4a57e84f","224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-018f8fc18318","4","4"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR","14/06/2024 10:29","22/06/2024 06:26","7.8","DAKAR","TRUE","402.8347222","SEN, MRT","FALSE","SRFC, IWC, NAMMCO, ACAP, ICCAT","FALSE",NA,"TRUE","4","TRUE","77.2","a0aa90604-4562-1097-2a1e-56ca4a57e84f","224580000-a0aa90604-4562-1097-2a1e-56ca4a57e84f-0190164b7ba0","4","4"
"ELSAAD","629009158","GMB","fishing","other","GMB","BANJUL","28/03/2024 16:44","04/12/2024 01:40","14.3","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,"TRUE","100","88bcefbe0-0278-4687-8093-91e3e4ae847b","629009158-88bcefbe0-0278-4687-8093-91e3e4ae847b-018e85f2ce10","4","4"
"ELSAAD","629009158","GMB","fishing","other","SEN","DAKAR","18/04/2024 00:10","05/05/2024 07:31","17.3","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"TRUE","9","TRUE","99.3","88bcefbe0-0278-4687-8093-91e3e4ae847b","629009158-88bcefbe0-0278-4687-8093-91e3e4ae847b-018eee89fb60","4","4"
"ELSAAD","629009158","GMB","fishing","other","SEN","DAKAR","05/10/2024 17:29","29/05/2024 16:00","18.9","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"TRUE","3","TRUE","100","88bcefbe0-0278-4687-8093-91e3e4ae847b","629009158-88bcefbe0-0278-4687-8093-91e3e4ae847b-018f638d74f0","4","4"
"EVERRICH 636","100902469","CIV","fishing","drifting_longlines","SEN","DAKAR","23/01/2024 05:33","04/12/2024 10:05","80.2","DAKAR","TRUE","3155.630833",NA,"TRUE","IWC, ICCAT, ACAP","FALSE",NA,"TRUE","39","TRUE","76","e930e06c6-68bc-f92a-0a67-d097d3769d0a","100902469-e930e06c6-68bc-f92a-0a67-d097d3769d0a-018d34cef190","4","4"
"F/V ALBACORA QUINCE","224727000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN","14/03/2024 17:02","04/11/2024 06:25","27.5","DAKAR","TRUE","10.83111111",NA,"TRUE","NAMMCO, ACAP, ICCAT, IWC","FALSE",NA,"TRUE","1","TRUE","6.1","83487d338-8fba-2645-7342-563c4cb5611f","224727000-83487d338-8fba-2645-7342-563c4cb5611f-018e3de9e310","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","26/04/2024 09:56","26/04/2024 13:40","0.1","DAKAR","TRUE","25.83333333","SEN","FALSE","SRFC, ACAP, NAMMCO, IWC, ICCAT","FALSE",NA,"FALSE",NA,"TRUE","100","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f19d5c498","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","27/04/2024 09:49","28/04/2024 15:00","1.2","DAKAR","TRUE","29.49583333","SEN","FALSE","IWC, NAMMCO, ICCAT, SRFC, ACAP","FALSE",NA,"FALSE",NA,"TRUE","96.8","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f1ef58d00","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","29/04/2024 10:03","29/04/2024 20:38","0.4","DAKAR","TRUE","43.05833333","SEN","FALSE","NAMMCO, ICCAT, SRFC, IWC, ACAP","FALSE",NA,"FALSE",NA,"TRUE","100","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f294f3968","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","05/03/2024 11:28","05/03/2024 18:34","0.3","DAKAR","TRUE","71.4125","SEN","FALSE","ACAP, SRFC, NAMMCO, IWC, ICCAT","FALSE",NA,"FALSE",NA,"TRUE","100","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f3e362170","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","05/05/2024 14:22","24/05/2024 21:37","19.3","DAKAR","TRUE","190.2877778",NA,"TRUE","NAMMCO, ICCAT, ACAP, IWC","FALSE",NA,"TRUE","8","TRUE","28.9","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f4922e618","4","4"
"F/V CORONA DEL MAR","228967000","FRA","fishing","pole_and_line","SEN","DAKAR","06/01/2024 11:22","22/06/2024 20:31","21.4","DAKAR","TRUE","5.620833333","SEN","FALSE","ACAP, ICCAT, SRFC, NAMMCO, IWC","FALSE",NA,"FALSE",NA,"TRUE","0.6","225be91ff-f744-cd74-80d0-163ad2a6d887","228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018fd3899400","4","4"
"F/V MONTELAPE","359003000","SLV","fishing","tuna_purse_seines","ESP","VIGO","25/05/2024 06:44","06/07/2024 15:09","13.3","DAKAR","TRUE","167.225","MRT, CPV","FALSE","NAMMCO, ICCAT, ACAP, IWC, SRFC","FALSE",NA,"TRUE","4","TRUE","49.4","ebf43c4d8-8e6a-bddd-493a-eafa2e1b4049","359003000-ebf43c4d8-8e6a-bddd-493a-eafa2e1b4049-018fae7e8fa8","4","4"
"F/V MONTELAPE","359003000","SLV","fishing","tuna_purse_seines","SEN","DAKAR","06/08/2024 12:54","30/06/2024 16:53","22.1","DAKAR","TRUE","194.2008333","CPV","TRUE","ACAP, NAMMCO, IWC, ICCAT, SRFC","FALSE",NA,"TRUE","7","TRUE","28.7","ebf43c4d8-8e6a-bddd-493a-eafa2e1b4049","359003000-ebf43c4d8-8e6a-bddd-493a-eafa2e1b4049-018ff7e9ba28","4","4"
"F/V PLAYA DE LAIDA","312257000","BLZ","fishing","tuna_purse_seines","ESP","LAS PALMAS","05/09/2024 12:45","05/12/2024 15:02","3.1","DAKAR","FALSE",NA,NA,"FALSE",NA,"FALSE",NA,"FALSE",NA,NA,"100","cb32968a9-93ec-23e7-7192-bf085ea98f2a","312257000-cb32968a9-93ec-23e7-7192-bf085ea98f2a-018f5d62b4c8","4","4"
"F/V STERENN","226180000","FRA","fishing","tuna_purse_seines","SEN","DAKAR","04/10/2024 12:45","13/05/2024 06:49","32.8","DAKAR","TRUE","192.4472222","GIN","FALSE","NAMMCO, IWC, ACAP, ICCAT, SRFC","FALSE",NA,"TRUE","3","TRUE","10.5","ec049fc02-2932-810d-f9b3-293e4eec0799","226180000-ec049fc02-2932-810d-f9b3-293e4eec0799-018ec80aa2a0","3","4"
