"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"HAO YUAN YU 861","412483274","CHN","fishing","inconclusive","CIV","ABIDJAN",2024-07-28 08:32:23,4,2024-07-29 06:26:56,4,0.9,"ABIDJAN",TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,8.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2186e505a-a159-78d6-2d2c-f111f0e811a1?&start=2024-07-26&end=2024-07-31"")"
"DICHA UNO","312697000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-08-17 09:55:53,4,2024-09-03 13:40:54,4,17.1,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,10.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2024-08-15&end=2024-09-05"")"
"MONTERAIOLA","224742000","ESP","fishing","tuna_purse_seines","GHA","TEMA",2024-08-24 17:55:08,4,2024-08-25 15:59:55,4,0.9,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2024-08-22&end=2024-08-27"")"
"AP703","627795000","GHA","fishing","pole_and_line","GHA","TEMA",2024-08-04 12:38:12,4,2024-09-19 04:33:57,4,45.6,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,1.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a388fcbaf-fcb5-d6b3-5eae-edb24c4149c5?&start=2024-08-02&end=2024-09-21"")"
"F/V CAP BOJADOR","228280000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-09-01 18:45:36,4,2024-09-16 06:30:34,4,14.5,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc9dd42b8-8263-d5f5-d479-8027efd525be?&start=2024-08-30&end=2024-09-18"")"
"PLAYA DE LAGA","312360000","BLZ","fishing","inconclusive","CIV","ABIDJAN",2024-07-19 18:55:55,4,2024-08-31 09:25:48,4,42.6,"ABIDJAN",NA,TRUE,608.688888888889,"GHA, GAB",TRUE,"FCWC, ICCAT, ACAP, NAMMCO, COREP, IWC",FALSE,NA,TRUE,31,48.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2024-07-17&end=2024-09-02"")"
"PANOFI FORE RUNNER","627072000","GHA","fishing","tuna_purse_seines","GHA","TEMA",2024-07-03 20:38:01,4,2024-07-20 13:32:31,4,16.7,"ABIDJAN",NA,TRUE,424.123055555556,"GHA",TRUE,"NAMMCO, FCWC, ACAP, ICCAT, IWC",FALSE,NA,TRUE,26,99.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/04b95cb83-31d8-06e7-0845-8691696643f5?&start=2024-07-01&end=2024-07-22"")"
"AVRA","312756000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-04 09:28:34,4,2024-09-01 05:40:58,4,27.8,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.4,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/68ab5e789-96a1-fd61-016c-92bd413a9682?&start=2024-08-02&end=2024-09-03"")"
"ZUBEROA","224587000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-08 16:00:19,4,2024-08-13 11:15:14,4,4.8,"ABIDJAN",NA,TRUE,98.0377777777778,"CIV",TRUE,"NAMMCO, FCWC, ACAP, IWC, ICCAT",TRUE,1,TRUE,3,69.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2024-08-06&end=2024-08-15"")"
"F/V STERENN","226180000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-06-06 14:37:07,4,2024-07-08 17:14:38,4,32.1,"ABIDJAN",NA,TRUE,113.645833333333,"CIV, GAB",FALSE,"COREP, NAMMCO, IWC, ICCAT, ACAP, FCWC",TRUE,2,TRUE,6,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ec049fc02-2932-810d-f9b3-293e4eec0799?&start=2024-06-04&end=2024-07-10"")"
"ATLANTIC GLORY","312864000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-20 14:50:16,4,2024-08-25 08:46:03,4,35.7,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,7.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2134364c-c3d5-8ee9-ddd4-5511c0500a50?&start=2024-07-18&end=2024-08-27"")"
