vessel_name,MMSI,Flag,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,vessel_id,trip_id,at_dock,percent_ais_voyage
FU YUAN YU 7856,412440841,CHN,fishing,drifting_longlines,SEN,DAKAR,22/12/2023 13:45,4,23/05/2024 08:01,4,152.8,DAKAR,TRUE,7663.9625,SEN,TRUE,"IWC, ICCAT, ACAP, NAMMCO, SRFC",TRUE,4,TRUE,13,cb0516612-2ad9-bf4f-1a2b-f0aec3d58bbb,412440841-cb0516612-2ad9-bf4f-1a2b-f0aec3d58bbb-018c91c5da40,TRUE,100
HAI FENG 823,412660240,CHN,carrier,carrier,GNB,BISSAU,22/05/2024 12:43,4,24/05/2024 00:50,4,1.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,d9b062f9d-de93-3a60-dd7c-87572c21a53b,412660240-d9b062f9d-de93-3a60-dd7c-87572c21a53b-018fa053a760,TRUE,100
YANGMING8006,412209198,CHN,fishing,trawlers,SEN,DAKAR,04/05/2024 21:35,3,24/05/2024 09:56,4,19.5,DAKAR,TRUE,2417.4375,"SEN, GNB",FALSE,"ACAP, SRFC, NAMMCO, ICCAT, IWC",FALSE,NA,TRUE,7,053be272f-f82e-093f-d86c-862ba01b963d,412209198-053be272f-f82e-093f-d86c-862ba01b963d-018f45881fa0,TRUE,54.6
LU QING YUAN YU 057,412331135,CHN,other,trawlers,SEN,DAKAR,20/04/2024 06:11,4,24/05/2024 10:05,4,34.1,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,a3fdbd55a-a6f5-36d3-8bc4-ed7d833c3532,412331135-a3fdbd55a-a6f5-36d3-8bc4-ed7d833c3532-018efa21c160,TRUE,49.9
FU YUAN YU 7855,412440839,CHN,fishing,drifting_longlines,SEN,DAKAR,23/12/2023 16:00,4,24/05/2024 13:10,4,152.9,DAKAR,TRUE,9087.75,NA,TRUE,"IWC, ICCAT, NAMMCO, ACAP",TRUE,2,TRUE,9,de1f0afa2-25e2-4c62-f533-e69236076a26,412440839-de1f0afa2-25e2-4c62-f533-e69236076a26-018c97680978,TRUE,98.8
SEA FRONTIER,632001009,GIN,fishing,tuna_purse_seines,SEN,DAKAR,24/04/2024 08:21,4,24/05/2024 16:39,4,30.3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,d2b4fe93a-aff7-7fee-8f10-183fa04a6252,632001009-d2b4fe93a-aff7-7fee-8f10-183fa04a6252-018f0f3241d8,TRUE,5.3
F/V CORONA DEL MAR,228967000,FRA,fishing,pole_and_line,SEN,DAKAR,05/05/2024 14:22,4,24/05/2024 21:37,4,19.3,DAKAR,TRUE,190.2877778,NA,TRUE,"NAMMCO, ICCAT, ACAP, IWC",FALSE,NA,TRUE,8,225be91ff-f744-cd74-80d0-163ad2a6d887,228967000-225be91ff-f744-cd74-80d0-163ad2a6d887-018f4922e618,TRUE,28.9
GOBER TERCERO,224013270,ESP,fishing,trawlers,MRT,CANSADO,22/05/2024 21:09,4,25/05/2024 07:54,4,2.4,DAKAR,TRUE,87.74166667,SEN,FALSE,"IWC, SRFC, ACAP, NAMMCO, ICCAT",FALSE,NA,TRUE,1,9a14ae05e-ea59-e046-aa06-068534b976aa,224013270-9a14ae05e-ea59-e046-aa06-068534b976aa-018fa2235680,TRUE,100
GOBER CUARTO,224068180,ESP,fishing,trawlers,MRT,CANSADO,22/05/2024 21:42,4,25/05/2024 08:02,4,2.4,DAKAR,TRUE,81.07916667,SEN,FALSE,"NAMMCO, IWC, ACAP, SRFC, ICCAT",FALSE,NA,FALSE,NA,b529cea41-1fe1-7857-0b7d-0d0d1441b9c2,224068180-b529cea41-1fe1-7857-0b7d-0d0d1441b9c2-018fa2417958,TRUE,100
MONTERAIOLA,224742000,ESP,fishing,tuna_purse_seines,SEN,DAKAR,15/04/2024 09:21,4,25/05/2024 14:23,4,40.2,DAKAR,TRUE,1336.388889,"GNB, SLE, SEN, GIN",FALSE,"ICCAT, ACAP, NAMMCO, SRFC, IWC",FALSE,NA,TRUE,17,c44bf0cee-e97e-f9c4-3c32-97d90554b144,224742000-c44bf0cee-e97e-f9c4-3c32-97d90554b144-018ee10f8310,TRUE,30.2
YIFENG10,412200999,CHN,fishing,trawlers,SEN,DAKAR,13/05/2024 15:22,4,25/05/2024 19:35,4,12.2,DAKAR,TRUE,310.4111111,GNB,FALSE,"IWC, ACAP, NAMMCO, SRFC, ICCAT",FALSE,NA,TRUE,6,c5de9be58-8b54-b6da-c3b6-408c3c806ce8,412200999-c5de9be58-8b54-b6da-c3b6-408c3c806ce8-018f728c4f08,TRUE,31.1
YUAN YU 883,412549547,CHN,fishing,trawlers,GNB,BISSAU,24/05/2024 18:32,4,26/05/2024 07:53,4,1.5,DAKAR,TRUE,29.24583333,SEN,FALSE,"ICCAT, IWC, ACAP, SRFC, NAMMCO",FALSE,NA,FALSE,NA,a7afe01e9-961b-0d5b-35b3-ced45f784c11,412549547-a7afe01e9-961b-0d5b-35b3-ced45f784c11-018fabdfccd0,TRUE,100
ATOUMAY,654007400,MRT,fishing,trawlers,SEN,DAKAR,25/05/2024 16:40,4,26/05/2024 09:47,4,0.7,DAKAR,TRUE,43.475,SEN,FALSE,"ACAP, SRFC, NAMMCO, IWC, ICCAT",FALSE,NA,FALSE,NA,7ee65946a-a57f-6f16-e049-e3fe16f66782,654007400-7ee65946a-a57f-6f16-e049-e3fe16f66782-018fb09fa6a0,TRUE,100
SANTO DO MAR,224387000,ESP,fishing,trawlers,SEN,DAKAR,10/05/2024 03:44,4,26/05/2024 16:38,4,16.5,DAKAR,TRUE,2529.977778,"GNB, SEN",FALSE,"ICCAT, ACAP, IWC, NAMMCO, SRFC",FALSE,NA,TRUE,4,256e38fc3-3be3-b3ab-3774-d471c95c930a,224387000-256e38fc3-3be3-b3ab-3774-d471c95c930a-018f609a8738,TRUE,86.2
WESTERO,266011000,SWE,fishing,trawlers,SEN,DAKAR,17/05/2024 22:29,4,26/05/2024 18:01,4,8.8,DAKAR,TRUE,3723.722222,"SEN, GMB",FALSE,"NAMMCO, SRFC, ACAP, ICCAT, IWC",FALSE,NA,TRUE,1,c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2,266011000-c65c0e5a3-38e1-fce8-013c-b5ae997aa5b2-018f88ac4798,TRUE,100
FU YUAN YU 7853,412440815,CHN,fishing,drifting_longlines,SEN,DAKAR,16/09/2023 10:11,4,29/05/2024 06:59,4,255.8,DAKAR,TRUE,12312.80194,"SEN, GMB",TRUE,"NAMMCO, ICCAT, IWC, SRFC, ACAP",FALSE,NA,TRUE,22,60cdb0f2c-c4eb-0bb6-687f-54caeeb6bd3a,412440815-60cdb0f2c-c4eb-0bb6-687f-54caeeb6bd3a-018a9d78e708,TRUE,90.4
?????,412331128,CHN,fishing,fishing,SEN,DAKAR,13/03/2024 20:18,2,29/05/2024 10:12,3,76.5,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,4f7ca4553-30a1-2559-513c-ffc93e6d26e2,412331128-4f7ca4553-30a1-2559-513c-ffc93e6d26e2-018e3976f4a8,NA,0.1
ELSAAD,629009158,GMB,fishing,other,SEN,DAKAR,10/05/2024 17:29,4,29/05/2024 16:00,4,18.9,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,3,88bcefbe0-0278-4687-8093-91e3e4ae847b,629009158-88bcefbe0-0278-4687-8093-91e3e4ae847b-018f638d74f0,TRUE,100
YUNGCHI166,416004708,TWN,fishing,drifting_longlines,ZAF,CAPE TOWN,22/10/2023 11:43,4,30/05/2024 11:15,4,221,DAKAR,TRUE,2630.4325,NA,TRUE,"IWC, ACAP, ICCAT, NAMMCO",TRUE,1,TRUE,68,1ae94285e-ed24-3636-30b1-eeaee2af1a91,416004708-1ae94285e-ed24-3636-30b1-eeaee2af1a91-018b5732f418,TRUE,33.1
