"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","vv_url"
"YIFENG21","412209011","CHN","fishing","fishing","SEN","DAKAR",2024-08-02 21:34:33,4,2024-08-28 02:25:25,4,25.2,"DAKAR",TRUE,101.744444444444,"GNB",FALSE,"NAMMCO, IWC, ACAP, ICCAT, SRFC",FALSE,NA,TRUE,20,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c168bbf49-9c02-8ea2-724f-1f17ea5b988d?&start=2024-09-01&end=2024-10-31"")"
"YIFENG22","412209012","CHN","fishing","trawlers","SEN","DAKAR",2024-08-02 17:39:20,4,2024-08-23 17:12:46,4,21,"DAKAR",TRUE,255.872222222222,"GNB",FALSE,"ACAP, ICCAT, SRFC, NAMMCO, IWC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bc8cca775-5e31-b2ca-e5b7-7a66811a7955?&start=2024-09-01&end=2024-10-31"")"
"YIFENG22","412209012","CHN","fishing","trawlers","SEN","DAKAR",2024-08-25 20:04:45,4,2024-09-23 15:13:10,4,28.8,"DAKAR",TRUE,227.872222222222,"SEN, GNB",FALSE,"SRFC, NAMMCO, IWC, ACAP, ICCAT",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bc8cca775-5e31-b2ca-e5b7-7a66811a7955?&start=2024-09-01&end=2024-10-31"")"
"YIFENG22","412209012","CHN","fishing","trawlers","SEN","DAKAR",2024-07-02 13:15:49,4,2024-07-30 13:17:11,4,28,"DAKAR",TRUE,341.290277777778,"SEN, GNB",FALSE,"ICCAT, ACAP, NAMMCO, IWC, SRFC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bc8cca775-5e31-b2ca-e5b7-7a66811a7955?&start=2024-09-01&end=2024-10-31"")"
"MAAN FWU NO.188","416005248","TWN","fishing","drifting_longlines","CPV","MINDELO",2024-08-29 20:25:42,4,2024-09-02 00:41:35,4,3.2,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a51bc90b5-5ea2-2cc3-c71f-b5f8d4f1176d?&start=2024-09-01&end=2024-10-31"")"
"PEIX MAR VEINTISIETE","224370000","ESP","fishing","trawlers","MRT","CANSADO",2024-07-17 09:25:03,4,2024-07-19 08:05:00,4,1.9,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a543ade4c-cc4f-b978-6ec3-e9189c101964?&start=2024-09-01&end=2024-10-31"")"
"DUX","630123009","GNB","fishing","trawlers","GNB","BISSAU",2024-06-13 16:03:57,4,2024-07-02 11:17:45,4,18.8,"DAKAR",TRUE,4293.29583333333,"GNB, SEN",FALSE,"ICCAT, NAMMCO, ACAP, IWC, SRFC",FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddede9953-3f41-0464-60f7-dd305ee6621a?&start=2024-09-01&end=2024-10-31"")"
"DUX","630123009","GNB","fishing","trawlers","SEN","DAKAR",2024-07-07 02:51:19,4,2024-07-12 12:30:38,4,5.4,"DAKAR",TRUE,2025.97083333333,"GMB, GNB, SEN",FALSE,"ACAP, SRFC, IWC, NAMMCO, ICCAT",FALSE,NA,TRUE,2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddede9953-3f41-0464-60f7-dd305ee6621a?&start=2024-09-01&end=2024-10-31"")"
"DUX","630123009","GNB","fishing","trawlers","SEN","DAKAR",2024-07-21 15:30:41,4,2024-08-12 17:12:51,4,22,"DAKAR",TRUE,5235.76805555555,"SEN, GNB",FALSE,"SRFC, ICCAT, ACAP, IWC, NAMMCO",FALSE,NA,TRUE,1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ddede9953-3f41-0464-60f7-dd305ee6621a?&start=2024-09-01&end=2024-10-31"")"
"PLAYA DE NOJA","224531000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-07-15 08:15:59,4,2024-07-15 11:54:14,4,0.1,"DAKAR",FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/472962590-0e8b-947d-3f92-4a00e908d511?&start=2024-09-01&end=2024-10-31"")"
"FU YUAN YU 7857","412440842","CHN","fishing","drifting_longlines","SEN","DAKAR",2024-06-20 14:47:51,4,2024-09-08 11:51:51,4,79.9,"DAKAR",TRUE,4744.22111111111,NA,TRUE,"NAMMCO, ACAP, ICCAT, IWC",FALSE,NA,TRUE,11,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/37d18a147-79f8-1fdc-3e0d-2baa5b6f4631?&start=2024-09-01&end=2024-10-31"")"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-07-14 01:05:35,4,2024-07-28 00:46:10,4,14,"DAKAR",TRUE,468.197222222222,"ESH, MRT",FALSE,"NAMMCO, IWC, ICCAT, ACAP, SRFC",FALSE,NA,TRUE,7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
"EGALUZE","224580000","ESP","fishing","tuna_purse_seines","SEN","DAKAR",2024-09-08 07:49:50,4,2024-09-17 05:54:35,4,8.9,"DAKAR",TRUE,398.991666666667,"CPV, MRT",FALSE,"ICCAT, ACAP, IWC, NAMMCO, SRFC",FALSE,NA,TRUE,7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a0aa90604-4562-1097-2a1e-56ca4a57e84f?&start=2024-09-01&end=2024-10-31"")"
