"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","abj_lagoon","abj_vridi","abj_cargo","abj_fishing","abj_offshore","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","BEL","ANTWERP",2025-05-17 14:44:39,4,2025-05-27 07:24:39,4,9.7,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-05-15&end=2025-05-29"")"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","BEL","ANTWERP",2025-04-12 10:21:19,4,2025-04-24 12:21:44,4,12.1,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-04-10&end=2025-04-26"")"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","BEL","ANTWERP",2025-06-20 08:41:47,4,2025-06-30 13:55:44,4,10.2,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-06-18&end=2025-07-02"")"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","GHA","TEMA",2025-06-04 17:37:20,4,2025-06-05 09:14:30,4,0.6,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-06-02&end=2025-06-07"")"
"COTE D IVOIRIAN STAR","636014241","LBR","LBR","9172478","carrier","low","carrier","carrier","GHA","TEMA",2025-05-01 12:20:00,4,2025-05-02 03:30:04,4,0.6,"ABIDJAN",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c24029a18-8c22-ebb8-d92d-02fc96ad2d26?&start=2025-04-29&end=2025-05-04"")"
"ZUBEROA","224587000","ESP","ESP","8906456","fishing","med","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-04-01 08:18:54,4,2025-04-01 13:33:20,4,0.2,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2025-03-30&end=2025-04-03"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","med","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-05-07 17:51:28,4,2025-06-13 18:25:37,4,37,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,97.3708333333333,"CIV",FALSE,"FCWC, ICCAT, ACAP, IWC, NAMMCO",FALSE,0,TRUE,2,4.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-05-05&end=2025-06-15"")"
"F/V ALBACORA QUINCE","224727000","ESP","ESP","8206296","fishing","med","fishing","tuna_purse_seines","SEN","DAKAR",2025-04-03 11:25:22,4,2025-05-04 05:42:29,4,30.8,"ABIDJAN",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,NA,FALSE,NA,FALSE,0,TRUE,1,3.2,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2025-04-01&end=2025-05-06"")"
"MONTERAIOLA","224742000","ESP","ESP","9882009","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-03-03 07:30:03,4,2025-04-22 06:06:50,4,49.9,"ABIDJAN",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,1171.30694444444,"CIV, SLE, GNB, GIN",TRUE,"FCWC, SRFC, ACAP, NAMMCO, IWC, ICCAT",FALSE,0,TRUE,28,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2025-03-01&end=2025-04-24"")"
"MONTERAIOLA","224742000","ESP","ESP","9882009","fishing","high","fishing","tuna_purse_seines","CIV","ABIDJAN",2025-05-21 08:20:53,4,2025-06-17 18:00:55,4,27.4,"ABIDJAN",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,243.039722222222,"CIV, AGO, GAB",TRUE,"NAMMCO, ACAP, FCWC, IWC, ICCAT, COREP",FALSE,0,TRUE,15,46.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c44bf0cee-e97e-f9c4-3c32-97d90554b144?&start=2025-05-19&end=2025-06-19"")"
