"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-12-07 11:18:28,4,2024-12-08 19:56:48,4,1.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-12-05&end=2024-12-10"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-20 10:19:28,4,2024-10-21 19:50:21,4,1.4,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-18&end=2024-10-23"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-04 18:58:55,4,2024-10-07 11:09:15,4,2.7,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,97,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-02&end=2024-10-09"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-10-17 00:59:54,4,2024-10-19 14:34:09,4,2.5,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-15&end=2024-10-21"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-11-23 20:28:32,4,2024-11-26 13:14:55,4,2.7,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,98.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-11-21&end=2024-11-28"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-11-14 16:29:45,4,2024-11-16 01:33:45,4,1.4,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-11-12&end=2024-11-18"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-11-12 08:40:57,4,2024-11-14 11:47:53,4,2.1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-11-10&end=2024-11-16"")"
NA,"412222976","CHN","passenger","passenger","CHN","PANJIN",2024-12-28 20:48:32,3,2024-12-29 00:48:32,2,0.2,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a1a2e5811-1969-ee87-2569-97a894bdcf84?&start=2024-12-26&end=2024-12-31"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-10-13 12:21:00,4,2024-10-15 16:35:51,4,2.2,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-10-11&end=2024-10-17"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-10-15 23:43:40,4,2024-10-18 06:53:07,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-10-13&end=2024-10-20"")"
