"vessel_name","MMSI","Flag","AIS_Flag","imo","vessel_class_cat","vessel_class_confidence","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","dak_general","dak_fishing","num_fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","AISdisabling","num_AISdisabling","percent_ais_voyage","vv_url"
"YIFENG28","412209126","CHN","CHN",NA,"fishing","high","fishing","trawlers","SEN","DAKAR",2025-05-29 18:34:41,4,2025-06-22 09:11:43,4,23.6,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,12,FALSE,0,9.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/e37cb040b-bbe1-3f3c-c4fc-69d978402d3f?&start=2025-05-27&end=2025-06-24"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-05-25 21:33:01,4,2025-06-18 14:06:49,4,23.7,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,16,FALSE,0,20.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-05-23&end=2025-06-20"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-06-19 19:50:24,4,2025-06-24 00:59:01,3,4.2,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,16.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-06-17&end=2025-06-26"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-03-19 20:59:25,4,2025-04-06 17:11:20,4,17.8,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,14,FALSE,0,47.1,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-03-17&end=2025-04-08"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-05-07 23:40:17,4,2025-05-24 13:46:20,4,16.6,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,6,FALSE,0,61.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-05-05&end=2025-05-26"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-21 16:15:26,4,2025-05-06 14:11:14,4,14.9,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,11,FALSE,0,41.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-04-19&end=2025-05-08"")"
"YIFENG29","412209127","CHN","CHN",NA,"fishing","low","seismic_vessel","seismic_vessel","SEN","DAKAR",2025-04-07 20:37:09,4,2025-04-20 15:58:37,4,12.8,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,12,FALSE,0,69.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/785354964-45b4-f8c5-b095-0f9384dec366?&start=2025-04-05&end=2025-04-22"")"
"RUITAIFENG88","412217977","CHN","CHN",NA,"carrier","high","carrier","carrier","GIN","CONAKRY",2025-04-15 18:36:56,4,2025-04-18 00:46:27,4,2.3,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ad0c9598-8f03-b516-5ded-51f5a32ad0e9?&start=2025-04-13&end=2025-04-20"")"
"RUITAIFENG88","412217977","CHN","CHN",NA,"carrier","high","carrier","carrier","GIN","CONAKRY",2025-05-29 13:55:28,4,2025-05-31 17:25:24,4,2.1,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ad0c9598-8f03-b516-5ded-51f5a32ad0e9?&start=2025-05-27&end=2025-06-02"")"
"LURONGYUANYU217","412329515","CHN","CHN",NA,"fishing","high","fishing","trawlers","GIN","CONAKRY",2025-04-15 05:09:54,4,2025-04-17 06:51:15,4,2,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,98,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c18732496-63f4-bef2-fc9a-cf5bdbbecad3?&start=2025-04-13&end=2025-04-19"")"
"LUQINGYUANYU050","412331128","CHN","CHN","9771810","fishing","med","fishing","inconclusive","SEN","DAKAR",2025-06-18 20:27:24,4,2025-06-25 10:33:07,3,6.6,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,1.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/66fd4b0e7-785f-cf7a-810d-29ec9a358dcd?&start=2025-06-16&end=2025-06-27"")"
"LUQINGYUANYU055","412331133","CHN","CHN",NA,"fishing","high","fishing","fishing","FJI","SUVA",2025-02-27 23:15:36,4,2025-04-07 09:59:58,4,38.4,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebe6d1808-8339-d75f-ae95-9151fd941d16?&start=2025-02-25&end=2025-04-09"")"
"LUQINGYUANYU055","412331133","CHN","CHN",NA,"fishing","high","fishing","fishing","SEN","DAKAR",2025-04-18 08:57:21,4,2025-05-06 19:21:20,4,18.4,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,TRUE,1,FALSE,0,2.3,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebe6d1808-8339-d75f-ae95-9151fd941d16?&start=2025-04-16&end=2025-05-08"")"
"LUQINGYUANYU055","412331133","CHN","CHN",NA,"fishing","high","fishing","fishing","SEN","DAKAR",2025-05-09 21:48:47,4,2025-06-15 16:10:56,4,36.8,"DAKAR",TRUE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,0.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ebe6d1808-8339-d75f-ae95-9151fd941d16?&start=2025-05-07&end=2025-06-17"")"
"ZHENYUANYU811","412420879","CHN","CHN",NA,"fishing","med","fishing","inconclusive","SEN","DAKAR",2025-04-17 08:50:54,4,2025-04-17 22:31:14,3,0.5,"DAKAR",FALSE,FALSE,0,0,NA,FALSE,NA,FALSE,0,FALSE,0,FALSE,0,86.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9aedf016a-a789-3b0a-1f62-1e394a2f3d27?&start=2025-04-15&end=2025-04-19"")"
