ssvid,vessel_id,trip_start,trip_end,trip_start_anchorage_id,trip_end_anchorage_id,trip_start_visit_id,trip_end_visit_id,trip_start_confidence,trip_end_confidence,trip_id,year,ssvid_1,vessel_name,flag,vessel_class,first_timestamp,last_timestamp
412420885,b74acc2ea-a2dc-05b0-7cf0-c4fc423846bc,2023-08-21T16:07:36Z,2023-09-18T06:39:20Z,0ec176c1,0ec176c1,be312325445d12b3408b6ba86528f1bb,e96f6ef0928f42c9b0fc0a7b51a063b6,4,4,412420885-b74acc2ea-a2dc-05b0-7cf0-c4fc423846bc-018a18da0540,2023,412420885,ZHENYUANYU813,CHN,fishing,2022-10-22T20:32:26Z,2023-09-30T23:59:03Z
247118500,bad5bdac7-7d3d-c6be-f2af-3d2989cbdd4c,2023-09-06T20:01:33Z,2023-09-18T06:44:27Z,0ee6d1d3,0ec176c1,1966590780c8be0c6a44bd36992779bc,73061d91bc0fb3ac16fa05434d00019b,4,4,247118500-bad5bdac7-7d3d-c6be-f2af-3d2989cbdd4c-018a6c15f548,2023,247118500,MYRAQ,ITA,fishing,2015-01-07T13:08:36Z,2023-09-30T23:59:16Z
629009092,f581b4c7a-a4e9-81b0-dd1f-add5a6830a79,2023-08-14T05:28:05Z,2023-09-18T08:24:13Z,0ec176c1,0ec176c1,29c78a7fc4ebaa167f85de1e182aef0b,554244ed3f51e689b33000b63e7aa712,4,4,629009092-f581b4c7a-a4e9-81b0-dd1f-add5a6830a79-0189f2840288,2023,629009092,DIMITRIOS1,GMB,fishing,2023-01-20T18:16:32Z,2023-09-28T22:41:21Z
412209008,c5824d985-509c-6d36-cfd9-d45e58e5515b,2023-08-30T20:57:02Z,2023-09-18T15:19:35Z,0ec176c1,0ec176c1,31bc918e62cfcc47505b32e7f0a83ff8,d8c3fee8f2fe674c9994dad7368fd28b,4,4,412209008-c5824d985-509c-6d36-cfd9-d45e58e5515b-018a483c3d30,2023,412209008,YANGMING8031,CHN,fishing,2023-05-02T18:30:01Z,2023-09-28T21:29:49Z
224531000,472962590-0e8b-947d-3f92-4a00e908d511,2023-09-19T05:49:27Z,2023-09-20T05:38:50Z,094f1be3,0ec1741b,cd1267ea5f2979e593d635d12899db64,50dd2a4fbc5a97b6b6ce57a151d82a0c,4,4,224531000-472962590-0e8b-947d-3f92-4a00e908d511-018aabfc8258,2023,224531000,PLAYADENOJA,ESP,fishing,2022-12-17T08:30:35Z,2023-09-27T05:12:34Z
413201110,cb0df71f9-918a-ca7a-8d04-3221f45b4f2e,2023-07-21T18:15:37Z,2023-09-20T07:32:02Z,0ec1741b,0ec176bf,91f4d182e31facc3bce57c19184a4c25,9714746db3ba004d19a03ce4098067c7,4,4,413201110-cb0df71f9-918a-ca7a-8d04-3221f45b4f2e-018979aa1528,2023,413201110,LIAOYUANYU99,CHN,fishing,2016-07-18T11:19:52Z,2023-09-30T23:53:35Z
632001009,d2b4fe93a-aff7-7fee-8f10-183fa04a6252,2023-08-26T15:55:20Z,2023-09-20T08:06:27Z,0ec176bf,0ec1741b,af078219ae4b037c09fd11177d049b41,2d87f1b9652d777a496404ac48cf7232,4,4,632001009-d2b4fe93a-aff7-7fee-8f10-183fa04a6252-018a328e9640,2023,632001009,SEAFRONTIER,GIN,fishing,2021-10-14T16:25:38Z,2023-09-28T18:24:22Z
412209198,053be272f-f82e-093f-d86c-862ba01b963d,2023-09-06T16:34:00Z,2023-09-20T14:47:55Z,0ec176c1,0ec176c1,353a0700c499f0e51b9438f303d93da0,ec56f905aa8eed9ef788218ce4ee55b0,4,4,412209198-053be272f-f82e-093f-d86c-862ba01b963d-018a6b57f0c0,2023,412209198,YANGMING8006,CHN,fishing,2023-02-04T01:45:33Z,2023-09-28T10:59:17Z
224174380,5b7507d06-6c0b-49c7-7c49-f3108d5c1f4f,2023-09-16T06:25:31Z,2023-09-21T12:18:09Z,0c462785,0ec1741b,c4bf000596921199676097d99c37fbc6,138e73661fd03a6f122fa528ec2e19b3,4,4,224174380-5b7507d06-6c0b-49c7-7c49-f3108d5c1f4f-018a9caa7378,2023,224174380,OCEANONA,ESP,fishing,2023-08-17T11:03:08Z,2023-09-24T03:56:41Z
630123900,689115283-3bee-3183-8240-4ac710518451,2023-09-03T18:48:20Z,2023-09-24T07:26:55Z,0ec176c1,0ec176bf,5300798344ae1fa10abf9975ce291a8f,51e65ccc894294329c3e84fbc850f506,4,4,630123900-689115283-3bee-3183-8240-4ac710518451-018a5c5fd920,2023,630123900,NANGHAM,GNB,fishing,2021-02-26T11:37:29Z,2023-09-30T23:58:29Z
416115500,f60524849-916a-3092-9f99-2e651c7c9c6a,2023-05-15T16:57:08Z,2023-09-25T10:10:09Z,102077c3,0ec176c1,74362a6ef9c77b11e290ba255655b57d,3aa8c0da662f9bb7832033718d86a133,4,4,416115500-f60524849-916a-3092-9f99-2e651c7c9c6a-0188205826a0,2023,416115500,HUNGHWA202,TWN,fishing,2022-09-26T05:55:39Z,2023-09-30T23:43:11Z
224854000,1e31d7cd6-6c64-7b64-d9fd-71ea2e122789,2023-08-13T20:18:47Z,2023-09-25T13:01:47Z,0ec176c1,0ec176c1,d1a5f53494a25ad34bd7b4c35846f991,3a8a7daf68f4f0f175a2d5f94428c8f7,4,4,224854000-1e31d7cd6-6c64-7b64-d9fd-71ea2e122789-0189f08d1c58,2023,224854000,COSTADEHUELVA,ESP,fishing,2019-05-17T05:33:43Z,2023-09-30T19:51:07Z
630124007,82ae86704-45c9-b874-7c94-53135cbf5acc,2023-09-15T02:29:05Z,2023-09-26T05:42:34Z,0ee6d1d3,0ec176c1,caff3acbb6cd24b6e1a2eddd6ba17667,91fca11b262312018ac795bf73ec82a2,4,4,630124007-82ae86704-45c9-b874-7c94-53135cbf5acc-018a96aba168,2023,630124007,UMAIA,MRT,fishing,2023-01-13T11:25:35Z,2023-09-30T07:04:23Z
413270240,7c550070e-e6ec-f7e7-3ff8-d17ac75ee93b,2023-09-26T10:55:00Z,2023-09-29T15:23:24Z,0c40be0b,0ec1741b,ac44b6c57fb81e071e1610f4cc74180e,e7fda595e53fc48619a04c9594242909,4,4,413270240-7c550070e-e6ec-f7e7-3ff8-d17ac75ee93b-018ad120c3a0,2023,413270240,JINFENG3,CHN,fishing,2016-08-26T19:10:20Z,2023-09-29T17:22:47Z
413270430,f6e04ce87-7891-0f6d-2760-6f9040cde342,2023-09-26T10:59:08Z,2023-09-29T17:00:01Z,0c40be0b,0ec1741b,c8359c1804610a50210e7e6258ad5cc5,0162e6823cc558aca08055f46cf1324e,4,4,413270430-f6e04ce87-7891-0f6d-2760-6f9040cde342-018ad1248c60,2023,413270430,JINSHENG2,CHN,fishing,2022-07-01T02:31:38Z,2023-09-30T23:30:23Z
412270057,51a59762e-e94a-fda1-6e1e-515db84c4403,2023-09-26T10:44:34Z,2023-09-29T18:01:36Z,0c40be0b,0ec1741b,b6778c4bdb996912ab265c69fe520667,cdb57ea375441167a082ea7c067fa451,4,4,412270057-51a59762e-e94a-fda1-6e1e-515db84c4403-018ad1173650,2023,412270057,JINSHENG6,CHN,fishing,2022-12-30T06:05:19Z,2023-09-30T23:47:48Z
412331029,3fd19bf6d-d53e-28d2-2650-c9b8b3f9120c,2022-12-17T13:47:04Z,2023-09-30T07:44:18Z,31d0aea3,0ec1741b,75eef7a9023095498e326a2059143d38,ed50647b7325e5d983031e3624a6e9ba,4,4,412331029-3fd19bf6d-d53e-28d2-2650-c9b8b3f9120c-0185205697c0,2023,412331029,LURONGYUANYU883,CHN,fishing,2023-07-08T18:53:38Z,2023-09-13T09:06:59Z
412331029,3fd19bf6d-d53e-28d2-2650-c9b8b3f9120c,2022-12-17T13:47:04Z,2023-09-30T07:44:18Z,31d0aea3,0ec1741b,75eef7a9023095498e326a2059143d38,ed50647b7325e5d983031e3624a6e9ba,4,4,412331029-3fd19bf6d-d53e-28d2-2650-c9b8b3f9120c-0185205697c0,2023,412331029,LUQINGYUANYU23,CHN,fishing,2015-10-16T07:26:28Z,2023-09-30T22:07:40Z
